# Global annual emissions for CFC-112 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2022-06-03 22:19:25.234666+00:00 
# Units: Gg/yr 
Year,Month,Decimal_date,Global_annual_emissions,Global_annual_emissions_1-sigma
1978,6,1978.46,0.2459699644434704,0.07068262186533773
1979,6,1979.46,0.28960152568743874,0.06842490505633533
1980,6,1980.46,0.3312603037402289,0.07409499025505725
1981,6,1981.46,0.3821777476204718,0.07383064468219248
1982,6,1982.46,0.44842794103877837,0.06735583880661047
1983,6,1983.46,0.5506945427017643,0.06987346643373271
1984,6,1984.46,0.6733536057615367,0.0788200444867775
1985,6,1985.46,0.8327211388331358,0.08324695564418937
1986,6,1986.46,1.105161510823995,0.0846011504386204
1987,6,1987.46,1.2403909929093346,0.08451093140053313
1988,6,1988.46,1.2422424695193082,0.09039304427718838
1989,6,1989.46,1.2749792657065027,0.09442784905281681
1990,6,1990.46,1.391830610132941,0.09836981254370229
1991,6,1991.46,1.746953938215693,0.10719682929554034
1992,6,1992.46,2.203179858224803,0.125001982664806
1993,6,1993.46,0.929776387684505,0.11437197570220503
1994,6,1994.46,0.7689827588264141,0.11069287767466843
1995,6,1995.46,0.5576114818031003,0.10905413732889949
1996,6,1996.46,0.3969861354696241,0.1124840114855698
1997,6,1997.46,0.2320688854918713,0.10294039835925395
1998,6,1998.46,0.14919777599026182,0.10891240747627533
1999,6,1999.46,0.13975283634080488,0.1116436687208985
2000,6,2000.46,0.14054111055759405,0.10888856454246083
2001,6,2001.46,0.14239337872358468,0.10551767586309682
2002,6,2002.46,0.1197441273246807,0.10234275691378554
2003,6,2003.46,0.08925574518620906,0.10397042739225375
2004,6,2004.46,0.08130274858643043,0.10311568820853781
2005,6,2005.46,0.11408513002061295,0.106787035588564
2006,6,2006.46,0.15049098664402918,0.10542607984931016
2007,6,2007.46,0.18041980158746562,0.10524658346590884
2008,6,2008.46,0.1805906975388509,0.10332210124466856
2009,6,2009.46,0.16380796489451724,0.10474264669423651
2010,6,2010.46,0.11873894910166845,0.10472308653335761
2011,6,2011.46,0.04279102904891292,0.10385072537491606
2012,6,2012.46,0.05196163723972206,0.10285491820607794
2013,6,2013.46,0.06131375975379624,0.09973637913477647
2014,6,2014.46,0.029368075169350208,0.09728052937546444
2015,6,2015.46,0.014432901985212297,0.09895779783275269
2016,6,2016.46,0.0018869915328560162,0.0952469462856633
2017,6,2017.46,0.0,0.057362838936903124
2018,6,2018.46,0.0,0.06238559400722363
2019,6,2019.46,0.0,0.0753850916816324
2020,6,2020.46,0.0,0.10396677763028968
