# Global mole fraction growth rate for CFC-112 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2022-06-03 22:19:25.209117+00:00 
# Units: ppt 
Year,Month,Decimal_date,Global_mole_fraction_growth_rate,Global_mole_fraction_growth_rate_1-sigma
1978,1,1978.04,0.005583165197510637,0.0019494059946054138
1978,2,1978.12,0.0056785208519932115,0.0019070176508777833
1978,3,1978.21,0.005774440801664088,0.0018784735553447917
1978,4,1978.29,0.00587187311018844,0.0018609883787578632
1978,5,1978.37,0.0059711833593713345,0.001848141749032401
1978,6,1978.46,0.0060723661789530686,0.0018313893042091057
1978,7,1978.54,0.00617534404974778,0.0018030811881650853
1978,8,1978.62,0.006280019775178927,0.0017633464903223338
1978,9,1978.71,0.006386055199231198,0.001721308828763338
1978,10,1978.79,0.0064929195475665275,0.0016875146803180716
1978,11,1978.87,0.0066001889676845305,0.0016688801444552067
1978,12,1978.96,0.0067072464337178,0.0016677661322826436
1979,1,1979.04,0.0068129838636378955,0.0016843585013212366
1979,2,1979.12,0.006917007314107527,0.0017175972175545171
1979,3,1979.21,0.0070198244532634,0.0017626436905167772
1979,4,1979.29,0.007122614028758126,0.0018107446090503431
1979,5,1979.37,0.007225713716822671,0.0018520961573423973
1979,6,1979.46,0.007328971125213001,0.0018780955550697152
1979,7,1979.54,0.007432227835767671,0.0018832622359289844
1979,8,1979.62,0.007535126796646212,0.001871687366805731
1979,9,1979.71,0.007637195854876003,0.0018546282480581796
1979,10,1979.79,0.007738052242545253,0.0018422287007351143
1979,11,1979.87,0.007837851915280343,0.0018391144198836426
1979,12,1979.96,0.007936634138368733,0.001845526454731831
1980,1,1980.04,0.008033887520764066,0.001859845539667556
1980,2,1980.12,0.008130155999905601,0.0018809407718763293
1980,3,1980.21,0.008227113109475633,0.0019058519517543852
1980,4,1980.29,0.00832712987753384,0.0019290296540862878
1980,5,1980.37,0.008431300201815903,0.0019440566815489364
1980,6,1980.46,0.008539766181834874,0.0019461048203655406
1980,7,1980.54,0.00865236229861751,0.0019335107290786898
1980,8,1980.62,0.008768192760598323,0.0019107363034286439
1980,9,1980.71,0.008886085952751881,0.0018862748989747996
1980,10,1980.79,0.00900497013867121,0.0018664729478983246
1980,11,1980.87,0.009124579777042749,0.0018530020303616076
1980,12,1980.96,0.009244526377567593,0.001844851841264961
1981,1,1981.04,0.009363734561738463,0.0018401274515023312
1981,2,1981.12,0.009482651572005087,0.0018404842360192812
1981,3,1981.21,0.009603394264068253,0.0018460063520611943
1981,4,1981.29,0.009729114881222956,0.0018529945370292452
1981,5,1981.37,0.00986137672946508,0.0018555816601717524
1981,6,1981.46,0.010000393995823724,0.0018493483297719587
1981,7,1981.54,0.010145879741464693,0.0018327666519979229
1981,8,1981.62,0.010296457729842903,0.0018081653525595523
1981,9,1981.71,0.010450525359539515,0.0017809147662349654
1981,10,1981.79,0.010606786945288046,0.0017549841914217493
1981,11,1981.87,0.010765211396150392,0.0017314578958184485
1981,12,1981.96,0.010925612422937183,0.001710359867651259
1982,1,1982.04,0.011086886620540654,0.001691735133809623
1982,2,1982.12,0.01125001470262757,0.0016799080875728872
1982,3,1982.21,0.011418396011465706,0.0016769316056929702
1982,4,1982.29,0.011596978560428904,0.0016799479501807177
1982,5,1982.37,0.011788482237207952,0.0016829390402654785
1982,6,1982.46,0.011993422214956027,0.001680147075272509
1982,7,1982.54,0.012211279079370774,0.001667763278256254
1982,8,1982.62,0.012439699103040876,0.0016472853258840895
1982,9,1982.71,0.012675842632687584,0.0016258852951371505
1982,10,1982.79,0.012917106476071508,0.0016105541879594975
1982,11,1982.87,0.013162491052300924,0.0016048970830043598
1982,12,1982.96,0.013410444215086678,0.0016099425086713627
1983,1,1983.04,0.013657789234324253,0.00162583408718558
1983,2,1983.12,0.01390408380519886,0.0016544851808814336
1983,3,1983.21,0.014152456182718126,0.0016944023064707834
1983,4,1983.29,0.01440841575658727,0.001739441490023915
1983,5,1983.37,0.014674740329413589,0.0017814011406722962
1983,6,1983.46,0.014951520009274312,0.0018126369713121163
1983,7,1983.54,0.015237808698988966,0.0018273886549545046
1983,8,1983.62,0.015530459281275808,0.001827492628549868
1983,9,1983.71,0.015826181450735086,0.0018220371322127218
1983,10,1983.79,0.01612255563313756,0.0018206747056672718
1983,11,1983.87,0.016419836278476017,0.0018295824874849152
1983,12,1983.96,0.016717569492776172,0.0018515451323340933
1984,1,1984.04,0.017013056151264746,0.0018878683798153788
1984,2,1984.12,0.01730720223327277,0.0019377949277200996
1984,3,1984.21,0.017605549793377508,0.0019964868747361104
1984,4,1984.29,0.017916583640501135,0.002055631935064608
1984,5,1984.37,0.01824477842963742,0.0021061837704200773
1984,6,1984.46,0.018590606907363326,0.0021391711741549305
1984,7,1984.54,0.018952833351139342,0.002146546070106254
1984,8,1984.62,0.0193269692009631,0.0021297838610342124
1984,9,1984.71,0.01970858232011276,0.00209952202676851
1984,10,1984.79,0.020094777937119165,0.002068446547159506
1984,11,1984.87,0.020486679847089597,0.0020463018828503782
1984,12,1984.96,0.02088478701554154,0.0020388900582969196
1985,1,1985.04,0.021286919699961666,0.0020502266496156595
1985,2,1985.12,0.021696220077976874,0.002078457544756853
1985,3,1985.21,0.02212251146470234,0.0021165774032076102
1985,4,1985.29,0.022579907708195825,0.0021544653254440523
1985,5,1985.37,0.023076751163980676,0.0021820946740834946
1985,6,1985.46,0.023614858354721834,0.0021891209315615186
1985,7,1985.54,0.02419260816823972,0.002165862363442697
1985,8,1985.62,0.024802069377362485,0.0021151775981708147
1985,9,1985.71,0.025433172661601913,0.0020514880010079803
1985,10,1985.79,0.02607579129581489,0.0019917675226665786
1985,11,1985.87,0.026723192306499284,0.0019486854878052098
1985,12,1985.96,0.02736567708619648,0.00192895675296888
1986,1,1986.04,0.027987823436282824,0.001935995983955001
1986,2,1986.12,0.028580642814426665,0.0019650853904812976
1986,3,1986.21,0.029144318098592418,0.0020064702907612326
1986,4,1986.29,0.029684846291198847,0.0020483307571852512
1986,5,1986.37,0.030203509243388802,0.0020800453244085274
1986,6,1986.46,0.03069784305458054,0.0020916574004574543
1986,7,1986.54,0.031165621425596226,0.0020750048389069674
1986,8,1986.62,0.03159944160391737,0.0020346314722905256
1986,9,1986.71,0.03199228648300775,0.001984997502360189
1986,10,1986.79,0.032340697785543215,0.0019409186357948122
1986,11,1986.87,0.0326481687036581,0.001911304444005411
1986,12,1986.96,0.032916030646220874,0.0018994366626706293
1987,1,1987.04,0.03313994693469304,0.0019063320777371637
1987,2,1987.12,0.03332277055697461,0.0019286774551926231
1987,3,1987.21,0.033474449743700896,0.0019598671287780365
1987,4,1987.29,0.0336072344898875,0.001991332329577305
1987,5,1987.37,0.033726037257675874,0.0020152413486188153
1987,6,1987.46,0.03383084014565363,0.0020252245671004638
1987,7,1987.54,0.033921050359088975,0.0020174157145667897
1987,8,1987.62,0.03398749871441285,0.0019975692210077935
1987,9,1987.71,0.03402063017741045,0.001977457375022535
1987,10,1987.79,0.03401524813368886,0.0019666069641009884
1987,11,1987.87,0.033975065238538854,0.001968283463313155
1987,12,1987.96,0.03390432774843783,0.0019817005879409527
1988,1,1988.04,0.03380441168842596,0.002004849405622532
1988,2,1988.12,0.03368663793228403,0.0020357061780441653
