# Semihemispheric annual emissions for CFC-112 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2022-02-17 21:06:58.359087+00:00 
# Units: Gg/yr 
Year,Month,Decimal_date,Semihemispheric_annual_emissions_box0,Semihemispheric_annual_emissions_box1,Semihemispheric_annual_emissions_box2,Semihemispheric_annual_emissions_box3,Semihemispheric_annual_emissions_1-sigma_box0,Semihemispheric_annual_emissions_1-sigma_box1,Semihemispheric_annual_emissions_1-sigma_box2,Semihemispheric_annual_emissions_1-sigma_box3
1978,6,1978.46,0.15376532618086403,0.0,0.09154334172141099,0.1407852974353925,2.970275936013741,3.4128263404564447,0.876284577836741,0.49213179824479136
1979,6,1979.46,0.11525112186233044,0.00121261721666438,0.08098800353010871,0.12696509012356377,2.968262894224015,3.4160371364464654,0.8769752634330337,0.4909481388109912
1980,6,1980.46,0.1677553400837135,0.014710183542157964,0.07848718532641154,0.11794735349324871,2.9684481011722346,3.419192641122039,0.8757300956247891,0.4905973015138766
1981,6,1981.46,0.17148090665257665,0.034572268100052435,0.07968419458587138,0.11571346300749628,2.9649585094763067,3.418945908989744,0.8758264456856808,0.4905856871433392
1982,6,1982.46,0.156117674391123,0.05108395129887177,0.07978754642065058,0.11426747746284893,2.96560139546087,3.4199351947419925,0.8750197003620604,0.4906082446799819
1983,6,1983.46,0.21439855727402568,0.067583488650599,0.08257575562212349,0.11329960331727439,2.973240811675904,3.4194713156505485,0.875621126480121,0.48960756162793434
1984,6,1984.46,0.34892162984891545,0.09621564745078746,0.08866717825867698,0.11252167542381825,2.9821075191857496,3.416782504435544,0.8756226972525517,0.4886154673239952
1985,6,1985.46,0.5352941093627066,0.12235354839505085,0.09784267733648998,0.11192029580481516,2.9884902972207423,3.41624015166214,0.8765558950926747,0.4869350489173157
1986,6,1986.46,0.7632694522573514,0.17400832917788447,0.11686613120975207,0.12581179264118586,2.9816188828112566,3.4160662824900414,0.8769575864734303,0.4859052001846842
1987,6,1987.46,0.8989918360708414,0.20213829655147156,0.12727711079355072,0.12716180595708051,2.978828853808831,3.418110654848399,0.8773677960115573,0.48426843836060735
1988,6,1988.46,0.90390729728872,0.19973573230522942,0.127583569682459,0.12268280293250157,2.970925431170539,3.4200592368410865,0.8776571169414681,0.48517637613761955
1989,6,1989.46,0.9775617855194767,0.21722273635925204,0.12715505097493712,0.11525139302782829,2.968333964042113,3.420667985131342,0.8761629508137474,0.4849049549898984
1990,6,1990.46,0.9491268174399994,0.2075917785084965,0.11664456726114943,0.10431640682996267,2.9731572985852392,3.420610468669741,0.8762280643478794,0.4846014536898055
1991,6,1991.46,0.8906891870150454,0.20016458530707973,0.11924880929925379,0.10644494593564378,2.972377005271164,3.4189619453162834,0.8744457685788154,0.48427488650787115
1992,6,1992.46,0.8991491463631226,0.20359644239214236,0.12869102333304852,0.11962638940331492,2.975743910812848,3.4203721277555537,0.8746351742715838,0.4843909730265124
1993,6,1993.46,0.8123374866689428,0.19594264683546828,0.13055973246572464,0.1268094550531,2.974745411511816,3.421000874510869,0.8746323374197498,0.4829456796431205
1994,6,1994.46,0.6345128986921335,0.17770362685066285,0.12103176462847205,0.12473387796526632,2.9726927291437213,3.4187774513250497,0.8746701382158939,0.4825050130550218
1995,6,1995.46,0.3884093446029359,0.14696801612144123,0.10500957755339362,0.11577831779220714,2.973836263790565,3.4200128805822034,0.8756391576117772,0.48190532069163305
1996,6,1996.46,0.14089847130398447,0.11126427815729649,0.08702018705090529,0.10189751348016222,2.982146685373257,3.418978365003185,0.8762126352895809,0.48138233513068684
1997,6,1997.46,0.0,0.08076410362339966,0.06642171394764453,0.08111087242559732,2.980404814655949,3.4191450748754626,0.8764362241954391,0.4812604264581588
1998,6,1998.46,-2.7755575615628914e-17,0.06429140155124854,0.05373474671703415,0.06525093528064718,2.9755076450412976,3.419863509059235,0.8762689198781671,0.48114944058809833
1999,6,1999.46,0.0,0.05261597783050731,0.044731456351445265,0.05465796683181595,2.9777482149440866,3.417745624866497,0.8763060186250159,0.48054837235143577
2000,6,2000.46,0.01681243683955644,0.04362602011177242,0.04136928732131499,0.05160487260958021,2.985596743952327,3.416711700535431,0.8756638195064665,0.47974663794625244
2001,6,2001.46,0.05851007881298198,0.03937677984427177,0.04069869895593663,0.05148102828354607,2.992920309632853,3.417170056378878,0.8749212032095087,0.47918776641168526
2002,6,2002.46,0.02558929700052398,0.02612381242674559,0.03985146539318801,0.058833126198299175,2.9844601858783406,3.4178506083379596,0.8757851608337602,0.47833454352038984
2003,6,2003.46,2.7755575615628914e-17,0.003862277647345501,0.020217267307658653,0.04766946101895326,2.9756821891655267,3.418598088982429,0.8753616983870608,0.4786033515352595
