# Global annual emissions with no systematic uncertainty for CFC-112a 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2022-02-22 23:53:11.312958+00:00 
# Units: Gg/yr 
Year,Month,Decimal_date,Global_annual_emissions_with_no_systematic_uncertainty,Global_annual_emissions_with_no_systematic_uncertainty_1-sigma
1999,6,1999.46,0.02190516322344471,0.007119820129468765
2000,6,2000.46,0.02077391962571651,0.0067617106131070605
2001,6,2001.46,0.024079229767788212,0.006332672250768446
2002,6,2002.46,0.02821320308266728,0.005844991919961746
2003,6,2003.46,0.032597151061686994,0.005491978963379288
2004,6,2004.46,0.03616166002592141,0.005087825279845312
2005,6,2005.46,0.040785466041586324,0.004695168572818654
2006,6,2006.46,0.04606773458826672,0.004444477666935383
2007,6,2007.46,0.05117192192088058,0.004300749649191533
2008,6,2008.46,0.05514519159149337,0.0041371041887999305
2009,6,2009.46,0.058531933863785884,0.003933659763851727
2010,6,2010.46,0.06146742747405131,0.0038290265002602717
2011,6,2011.46,0.06485217291521138,0.0038494103013324353
2012,6,2012.46,0.06816503947990714,0.0037988334235579007
2013,6,2013.46,0.07201616485317826,0.0038518702214032285
2014,6,2014.46,0.07554415076440177,0.004151829643126458
2015,6,2015.46,0.07860452158979646,0.004380109397864904
2016,6,2016.46,0.08186862241568214,0.004661075669541616
2017,6,2017.46,0.08380992546101997,0.005116276815728409
2018,6,2018.46,0.08531476426738409,0.005516440366758018
2019,6,2019.46,0.08625499419996585,0.005927490634498161
2020,6,2020.46,0.08651835092411427,0.006299944401922679
