# Global annual mole fraction for CFC-112a 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2022-02-22 23:53:11.279980+00:00 
# Units: ppt 
Year,Month,Decimal_date,Global_annual_mole_fraction,Global_annual_mole_fraction_1-sigma
1999,6,1999.46,0.0699094450532063,0.0023586166498863964
2000,6,2000.46,0.06892733507024446,0.0024052676399713966
2001,6,2001.46,0.06800383634368518,0.002454077780075144
2002,6,2002.46,0.06722286558065015,0.002502110564325434
2003,6,2003.46,0.06659426392348669,0.0025452514207206464
2004,6,2004.46,0.06610109155053352,0.0025826113234293465
2005,6,2005.46,0.06574471839114564,0.002616510809476047
2006,6,2006.46,0.06554967540738828,0.0026472403066736404
2007,6,2007.46,0.06551771448153675,0.0026743278035903607
2008,6,2008.46,0.06562085865962829,0.0026964043418227384
2009,6,2009.46,0.06582819377409525,0.0027155815789005437
2010,6,2010.46,0.06612173846926182,0.0027322312346681516
2011,6,2011.46,0.06650190172116344,0.002749033399544614
2012,6,2012.46,0.06697342063240398,0.002768157858894538
2013,6,2013.46,0.06754255351967293,0.002787077019371439
2014,6,2014.46,0.06820962887790756,0.0028047738924164936
2015,6,2015.46,0.0689586229358774,0.0028222775011641017
2016,6,2016.46,0.06978431017797672,0.002846100247659516
2017,6,2017.46,0.0706653767524226,0.0028773031115380773
2018,6,2018.46,0.07157302203999734,0.002913665775555992
2019,6,2019.46,0.0724918949114136,0.0029576487511825886
2020,6,2020.46,0.07340273161912765,0.003011266655335084
