# Global annual mole fraction Jan for CFC-112a 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2022-06-03 22:19:39.650995+00:00 
# Units: ppt 
Year,Month,Decimal_date,Global_annual_mole_fraction_Jan,Global_annual_mole_fraction_Jan_1-sigma
1999,12,1999.96,0.0689108457101509,0.00324541519825623
2000,12,2000.96,0.06802510933549873,0.0034669658526822484
2001,12,2001.96,0.06721946820901499,0.003633781269514228
2002,12,2002.96,0.06656825984646654,0.0037463675896241143
2003,12,2003.96,0.06610356218731657,0.0038104888472749016
2004,12,2004.96,0.06583681923593533,0.0038278493177805843
2005,12,2005.96,0.0657485843161499,0.0038165212540614674
2006,12,2006.96,0.06578450620780203,0.0037978473074271497
2007,12,2007.96,0.06587148941730532,0.003770135840723641
2008,12,2008.96,0.06592814834296938,0.0037365994242410704
2009,12,2009.96,0.06594269763048072,0.0037047747948956004
2010,12,2010.96,0.06598774512407819,0.0036843543055918846
2011,12,2011.96,0.06616627597502624,0.0036759838363948595
2012,12,2012.96,0.06657820705760072,0.0036730718249422937
2013,12,2013.96,0.06728275112481011,0.0036809675163633118
2014,12,2014.96,0.06831580306673198,0.003705950213719992
2015,12,2015.96,0.06968299713835198,0.0037334386687894352
2016,12,2016.96,0.07134114220673125,0.0037689844378375704
2017,12,2017.96,0.07322030284080676,0.003811874487194504
2018,12,2018.96,0.07524293637809572,0.003888366163372312
2019,12,2019.96,0.07732345532576497,0.004002528160705084
