# Global mole fraction growth rate for CFC-112a 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2022-06-03 22:19:39.656503+00:00 
# Units: ppt 
Year,Month,Decimal_date,Global_mole_fraction_growth_rate,Global_mole_fraction_growth_rate_1-sigma
1999,1,1999.04,-0.0008878213188556861,0.0005439712477172414
1999,2,1999.12,-0.000890117808943636,0.0005268916500201972
1999,3,1999.21,-0.0008922497335760224,0.0005117328525466048
1999,4,1999.29,-0.0008941697372782505,0.0005014690917009182
1999,5,1999.37,-0.0008958721041843698,0.0004960038302686716
1999,6,1999.46,-0.0008973157653872614,0.0004927377362803274
1999,7,1999.54,-0.0008984232420721872,0.00048798619677716616
1999,8,1999.62,-0.0008990781426881236,0.00048201054547151404
1999,9,1999.71,-0.0008992413813054077,0.0004792233306623424
1999,10,1999.79,-0.0008989763923659669,0.00048080520497751006
1999,11,1999.87,-0.0008984363771158905,0.0004824863319534587
1999,12,1999.96,-0.0008977059160410312,0.00047881854313110617
2000,1,2000.04,-0.0008967641321971416,0.0004671112526138642
2000,2,2000.12,-0.000895505581050074,0.0004520701055865257
2000,3,2000.21,-0.0008938405377270964,0.0004396041189678576
2000,4,2000.29,-0.0008917042278444859,0.00043267327654669376
2000,5,2000.37,-0.0008890873201902179,0.0004307896993403694
2000,6,2000.46,-0.0008859690679926187,0.0004305176309603693
2000,7,2000.54,-0.0008823057131432229,0.00042719121507489593
2000,8,2000.62,-0.0008779907142391854,0.00042130951600168086
2000,9,2000.71,-0.0008729837323774323,0.000418610593933643
2000,10,2000.79,-0.0008673508231571512,0.0004211977869847505
2000,11,2000.87,-0.000861240472989245,0.00042455136982119223
2000,12,2000.96,-0.0008547498404386909,0.0004225336211179868
2001,1,2001.04,-0.0008479007844289364,0.0004121224746766308
2001,2,2001.12,-0.0008406362337188743,0.00039832828552028275
2001,3,2001.21,-0.0008328730294121747,0.0003873885062139354
2001,4,2001.29,-0.000824502618154108,0.0003821491229860664
2001,5,2001.37,-0.0008154991240697086,0.0003816731713713947
2001,6,2001.46,-0.0008058633260213348,0.00038200640486199647
2001,7,2001.54,-0.0007955901968784959,0.0003781039239940802
2001,8,2001.62,-0.0007846085744348021,0.00037111319680487877
2001,9,2001.71,-0.0007729073115602433,0.0003680122592735524
2001,10,2001.79,-0.0007605812670957578,0.0003713945282821415
2001,11,2001.87,-0.0007477918313356782,0.0003759917222356359
2001,12,2001.96,-0.0007346855181756064,0.00037489186940663406
2002,1,2002.04,-0.0007213914872807422,0.00036490348376251846
2002,2,2002.12,-0.0007079518074729487,0.00035170249169845383
2002,3,2002.21,-0.0006943267218163986,0.000342116531733136
2002,4,2002.29,-0.0006804018134361779,0.00033897402563240025
2002,5,2002.37,-0.0006661740934389134,0.00034083903110715717
2002,6,2002.46,-0.000651687737983335,0.0003430986286748747
2002,7,2002.54,-0.00063697220359145,0.00034005294076498325
2002,8,2002.62,-0.0006219911879192107,0.00033313748315561047
2002,9,2002.71,-0.0006067415725261679,0.00033024974138910296
2002,10,2002.79,-0.0005912894099787476,0.00033440337859259585
2002,11,2002.87,-0.0005757156876938366,0.0003397739739770545
2002,12,2002.96,-0.0005601063035425206,0.0003390068844121322
2003,1,2003.04,-0.0005445751509344859,0.00032914736545534444
2003,2,2003.12,-0.000529120977186834,0.00031661341223895574
2003,3,2003.21,-0.0005136198431588685,0.0003085758379896976
2003,4,2003.29,-0.0004978555596155074,0.00030736458696967455
2003,5,2003.37,-0.00048177772286080324,0.00031066137669558266
2003,6,2003.46,-0.000465427980587354,0.0003130405629511448
2003,7,2003.54,-0.00044884893663803347,0.00030817028009706596
2003,8,2003.62,-0.00043207026265282977,0.0002983441669405427
2003,9,2003.71,-0.0004151589713297911,0.00029339249135333244
2003,10,2003.79,-0.00039823084853160887,0.00029757138442051024
2003,11,2003.87,-0.0003813698587731864,0.00030434262110657257
2003,12,2003.96,-0.0003646769741035257,0.0003053263182573071
2004,1,2004.04,-0.0003483159276329469,0.000297259516160606
2004,2,2004.12,-0.0003322854710116588,0.0002868971744116439
2004,3,2004.21,-0.0003164135877304263,0.00028145407137305226
2004,4,2004.29,-0.0003004206605659527,0.00028268197470903507
2004,5,2004.37,-0.00028423103117896915,0.0002876243587921547
2004,6,2004.46,-0.00026788713880356556,0.000290603044870041
2004,7,2004.54,-0.00025143304674983807,0.000285192237325141
2004,8,2004.62,-0.00023496313637132478,0.00027423748896504975
2004,9,2004.71,-0.00021861858056041142,0.00026843906123529373
2004,10,2004.79,-0.00020256551782884107,0.00027239775180891527
2004,11,2004.87,-0.0001868893087510871,0.0002789179438988527
2004,12,2004.96,-0.0001716971317890228,0.00027915496903969695
2005,1,2005.04,-0.00015718357023714884,0.0002700098508650724
2005,2,2005.12,-0.00014332160363401454,0.00025898475547346734
2005,3,2005.21,-0.0001298805164116102,0.00025388024989067277
2005,4,2005.29,-0.00011652899288594202,0.00025634302790540663
2005,5,2005.37,-0.00010316900594252643,0.00026284525715002924
2005,6,2005.46,-8.983191138861264e-05,0.0002668680619326416
2005,7,2005.54,-7.65441912772333e-05,0.0002609938179875926
2005,8,2005.62,-6.345414912703596e-05,0.0002482423166238473
2005,9,2005.71,-5.077011459215186e-05,0.0002408661935493616
2005,10,2005.79,-3.869922289259678e-05,0.0002449001843252473
2005,11,2005.87,-2.7322615055790326e-05,0.0002528712837323435
2005,12,2005.96,-1.673175122960877e-05,0.0002551674054284444
2006,1,2006.04,-7.10500016868582e-06,0.0002486158987210657
2006,2,2006.12,1.6585566105950184e-06,0.00024110677446835408
2006,3,2006.21,9.874310355132263e-06,0.00024042593472640771
2006,4,2006.29,1.792920216807875e-05,0.00024748595292440115
2006,5,2006.37,2.5957827231387952e-05,0.0002579989839197347
2006,6,2006.46,3.396121122217951e-05,0.0002650037226270175
2006,7,2006.54,4.194709520225571e-05,0.00026093892374075137
2006,8,2006.62,4.972170189274277e-05,0.000249168236641737
2006,9,2006.71,5.700147194532901e-05,0.00024238387604633355
2006,10,2006.79,6.35125416837986e-05,0.0002470398099752005
2006,11,2006.87,6.913037138941911e-05,0.00025600228136517456
2006,12,2006.96,7.373874537035316e-05,0.00025990791073998
2007,1,2007.04,7.715234378353984e-05,0.0002558572355800539
2007,2,2007.12,7.951460384588312e-05,0.0002514020111785101
2007,3,2007.21,8.117674443854683e-05,0.0002535711657213115
2007,4,2007.29,8.252143320503173e-05,0.0002627262156359538
2007,5,2007.37,8.368796655056449e-05,0.0002746105631358014
2007,6,2007.46,8.470568243005937e-05,0.00028251462150013606
2007,7,2007.54,8.562671545736921e-05,0.0002790145194273639
2007,8,2007.62,8.625365503727437e-05,0.00026712261516479265
2007,9,2007.71,8.628906375217166e-05,0.000258832718267329
2007,10,2007.79,8.54650451934401e-05,0.0002607923179057501
2007,11,2007.87,8.368203977672448e-05,0.0002672251906520505
2007,12,2007.96,8.08897954593074e-05,0.0002696856238832964
2008,1,2008.04,7.702082723301975e-05,0.00026553629438722074
2008,2,2008.12,7.23728195577242e-05,0.0002616184477516745
2008,3,2008.21,6.742476017685028e-05,0.00026421045242695947
2008,4,2008.29,6.264167802285363e-05,0.00027340985075915373
2008,5,2008.37,5.8247226356421095e-05,0.0002850644906150522
2008,6,2008.46,5.4344094594578745e-05,0.0002922481689170732
2008,7,2008.54,5.102805943244244e-05,0.000287026969350001
2008,8,2008.62,4.8097826351462786e-05,0.00027200166862504087
2008,9,2008.71,4.522301605621704e-05,0.00025951450268449556
2008,10,2008.79,4.2084831240967645e-05,0.00025756042729151363
2008,11,2008.87,3.851689297740114e-05,0.0002615441261878822
2008,12,2008.96,3.4432397746924025e-05,0.00026287637562984477
2009,1,2009.04,2.9773682215708555e-05,0.0002582668901484445
2009,2,2009.12,2.48716004815987e-05,0.0002540121134808761
2009,3,2009.21,2.024886550636488e-05,0.0002563720421895441
2009,4,2009.29,1.6428228910903266e-05,0.0002656528698581034
2009,5,2009.37,1.3701711340005713e-05,0.00027779465055777165
2009,6,2009.46,1.2214786900116348e-05,0.0002857687485192715
2009,7,2009.54,1.2068267676261992e-05,0.00028170802982499147
2009,8,2009.62,1.305241035368693e-05,0.0002685369909425555
2009,9,2009.71,1.4806328781351503e-05,0.0002588700036248259
2009,10,2009.79,1.6948650161886606e-05,0.000260264480770868
2009,11,2009.87,1.922492641854217e-05,0.0002673089906138524
2009,12,2009.96,2.1449091061513077e-05,0.00027091172205370565
2010,1,2010.04,2.345513344139638e-05,0.0002674006681632944
2010,2,2010.12,2.54704348580139e-05,0.00026291265873511037
2010,3,2010.21,2.796489186806153e-05,0.0002638154493921125
2010,4,2010.29,3.1471441499709754e-05,0.0002708668190475082
2010,5,2010.37,3.629178825191142e-05,0.0002804869470756113
2010,6,2010.46,4.255393296285823e-05,0.0002862715124548611
2010,7,2010.54,5.032430925441859e-05,0.00028112700005045367
2010,8,2010.62,5.937921490445467e-05,0.0002682541747751292
2010,9,2010.71,6.935769619277265e-05,0.0002598726950339594
2010,10,2010.79,7.987853420312834e-05,0.0002624251289125782
2010,11,2010.87,9.069794786566496e-05,0.0002693844202233925
2010,12,2010.96,0.00010160834010099497,0.00027119023880042527
2011,1,2011.04,0.00011237224675689973,0.0002637472958914672
2011,2,2011.12,0.00012315093708389996,0.00025368041271487594
2011,3,2011.21,0.00013441575386228256,0.0002485201613660632
2011,4,2011.29,0.00014677146505833269,0.00025024115863156297
2011,5,2011.37,0.0001605477818380767,0.00025579725121033524
2011,6,2011.46,0.0001758457174790015,0.00025908989258559387
2011,7,2011.54,0.00019268295746458107,0.0002534716468591936
2011,8,2011.62,0.00021078055555911278,0.00024283410062295928
2011,9,2011.71,0.0002297346206153391,0.0002397908870603342
2011,10,2011.79,0.00024913346879721114,0.00024905840423193257
2011,11,2011.87,0.00026874139582346826,0.0002612839644887539
2011,12,2011.96,0.00028831540087208074,0.0002658379263601039
2012,1,2012.04,0.00030750612958244236,0.0002585832879943857
2012,2,2012.12,0.00032639336269714024,0.0002472912210875629
2012,3,2012.21,0.0003454522955111222,0.00024056675698695738
2012,4,2012.29,0.00036535786561155213,0.00024095786790242742
2012,5,2012.37,0.0003864518008024705,0.0002455442528954579
2012,6,2012.46,0.00040879713594148417,0.0002488754438623426
2012,7,2012.54,0.00043236907317215355,0.00024530770347243097
2012,8,2012.62,0.0004568176934325939,0.00023909467289650653
2012,9,2012.71,0.0004816917157894219,0.00024158178668687907
2012,10,2012.79,0.0005065768494811331,0.00025505895578350183
2012,11,2012.87,0.0005313107641321087,0.0002690855344151508
2012,12,2012.96,0.0005556953996893873,0.00027373912381904313
2013,1,2013.04,0.0005793589862785667,0.0002657301937731696
2013,2,2013.12,0.0006024186386184161,0.00025352441119453614
2013,3,2013.21,0.0006254678835270018,0.00024613499284010875
