# Bottom-up emissions from Rigby et al 2013
# UNITS: Gg/yr
year,box_0,box_1,box_2,box_3
1930,0,0,0,0
1931,0,0,0,0
1932,0,0,0,0
1933,0,0,0,0
1934,0,0,0,0
1935,0,0,0,0
1936,0,0,0,0
1937,0,0,0,0
1938,0,0,0,0
1939,0,0,0,0
1940,0,0,0,0
1941,0,0,0,0
1942,0,0,0,0
1943,0,0,0,0
1944,0.35342,0.02993,0.01476,0.01189
1945,0.743044,0.062926,0.031032,0.024998
1946,0.830106,0.070299,0.034668,0.027927
1947,0.961992,0.081468,0.040176,0.032364
1948,1.092154,0.092491,0.045612,0.036743
1949,1.22404,0.10366,0.05112,0.04118
1950,1.442126,0.122129,0.060228,0.048517
1951,1.660212,0.140598,0.069336,0.055854
1952,1.87916,0.15914,0.07848,0.06322
1953,2.141208,0.181332,0.089424,0.072036
1954,2.447218,0.207247,0.102204,0.082331
1955,2.841152,0.240608,0.118656,0.095584
1956,3.277324,0.277546,0.136872,0.110258
1957,3.714358,0.314557,0.155124,0.124961
1958,4.239316,0.359014,0.177048,0.142622
1959,4.894436,0.414494,0.204408,0.164662
1960,5.571968,0.471872,0.232704,0.187456
1961,6.315874,0.534871,0.263772,0.212483
1962,7.247696,0.613784,0.302688,0.243832
1963,8.32692,0.70518,0.34776,0.28014
1964,9.536306,0.807599,0.398268,0.320827
1965,10.918092,0.924618,0.455976,0.367314
1966,12.517964,1.060106,0.522792,0.421138
1967,14.334198,1.213917,0.598644,0.482241
1968,16.41248,1.38992,0.68544,0.55216
1969,18.793324,1.591546,0.784872,0.632258
1970,21.539656,1.824124,0.899568,0.724652
1971,24.841978,2.103787,1.037484,0.835751
1972,28.833038,2.441777,1.204164,0.970021
1973,33.511974,2.838021,1.399572,1.127433
1974,39.010672,3.303688,1.629216,1.312424
1975,45.454122,3.849363,1.898316,1.529199
1976,52.845772,4.475338,2.207016,1.777874
1977,61.358884,5.196286,2.562552,2.064278
1978,71.120172,6.022938,2.970216,2.392674
1979,82.26497,6.966755,3.43566,2.767615
1980,94.991538,8.044527,3.967164,3.195771
1981,104.109075,9.49767,4.505305,3.65295
1982,109.19766,10.855152,5.039892,4.135296
1983,121.862394,12.431988,5.637762,4.625856
1984,148.978104,15.765816,6.908616,5.491464
1985,175.631336,18.312272,8.115666,6.034726
1986,187.0322,21.4073,9.46428,7.43622
1987,205.6758,24.431792,10.969376,8.227032
1988,230.35488,26.21472,12.82848,9.48192
1989,242.369946,29.5934,14.204832,9.765822
1990,214.359327,26.1733,12.563184,8.637189
1991,168.691068,20.5972,9.886656,6.797076
1992,132.081768,16.1272,7.741056,5.321976
1993,84.102291,10.2689,4.929072,3.388737
1994,51.473331,6.2849,3.016752,2.074017
1995,40.5405,4.95,2.376,1.6335
1996,25.692849,3.1371,1.505808,1.035243
1997,13.294827,1.6233,0.779184,0.535689
1998,9.428328,1.1512,0.552576,0.379896
1999,5.682222,0.6938,0.333024,0.228954
2000,3.649464,0.4456,0.213888,0.147048
2001,3.155607,0.3853,0.184944,0.127149
2002,3.102372,0.3788,0.181824,0.125004
