# Global annual emissions with no systematic uncertainty for CFC-113 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2022-06-03 22:20:11.853476+00:00 
# Units: Gg/yr 
Year,Month,Decimal_date,Global_annual_emissions_with_no_systematic_uncertainty,Global_annual_emissions_with_no_systematic_uncertainty_1-sigma
1978,6,1978.46,69.6030558150251,8.24541969940927
1979,6,1979.46,82.51266718128207,8.300570394234931
1980,6,1980.46,98.31480631246116,8.972745664788418
1981,6,1981.46,112.82127628264648,7.90396408813291
1982,6,1982.46,114.89387691892746,8.844735137408344
1983,6,1983.46,124.22447012669751,8.707650363033986
1984,6,1984.46,162.27055163640057,8.362086329680958
1985,6,1985.46,204.74253671895772,8.920531910823916
1986,6,1986.46,215.9540603614067,8.79916525230071
1987,6,1987.46,221.4648197659573,8.685585681508462
1988,6,1988.46,237.6358343468186,9.177030072150465
1989,6,1989.46,239.14417142110224,8.71019246054417
1990,6,1990.46,204.56229934938696,9.597282985893708
1991,6,1991.46,157.85891933026488,9.430497741470875
1992,6,1992.46,126.88430850640299,9.611734131935709
1993,6,1993.46,84.11288729753616,9.080594138034565
1994,6,1994.46,52.352324995923844,8.575501030032278
1995,6,1995.46,41.82885900542535,8.896207567299466
1996,6,1996.46,34.266828697723234,8.868977552163729
1997,6,1997.46,26.889208210929947,8.067129372611992
1998,6,1998.46,22.80273097551726,7.67806598557885
1999,6,1999.46,20.51984429459591,7.593332871637516
2000,6,2000.46,10.240414932960958,7.041725763043503
2001,6,2001.46,8.605055497778128,8.685339231649646
2002,6,2002.46,6.13921419953985,7.5486063383409565
2003,6,2003.46,5.834599978254972,7.478148835424968
2004,6,2004.46,6.482895122232873,7.321894207564314
2005,6,2005.46,11.809722399113562,8.163327913218664
2006,6,2006.46,5.893187786512994,8.339743119108531
2007,6,2007.46,8.624801821940123,8.58692581993638
2008,6,2008.46,9.753438297310337,8.852184951476389
2009,6,2009.46,5.654769475834107,8.58216398927144
2010,6,2010.46,3.4517957589063077,8.438175317573016
2011,6,2011.46,1.080253009233121,8.111844336999924
2012,6,2012.46,0.11197649922100156,8.614606734728264
2013,6,2013.46,1.8421998014476912,8.235480427446612
2014,6,2014.46,1.8241446114339404,8.181186482229885
2015,6,2015.46,0.9357544104861651,8.42762653284853
2016,6,2016.46,0.6583750110756926,8.024197356727583
2017,6,2017.46,4.336808689942018e-19,7.792848312808901
2018,6,2018.46,-1.0842021724855044e-19,8.306071321466726
2019,6,2019.46,-3.3610267347050637e-18,10.978118422386917
2020,6,2020.46,3.686287386450715e-18,17.094398832373184
