# Global annual emissions for CFC-113a 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2022-02-22 23:50:15.908219+00:00 
# Units: Gg/yr 
Year,Month,Decimal_date,Global_annual_emissions,Global_annual_emissions_1-sigma
1978,6,1978.46,0.37787393152865517,0.2816436352692185
1979,6,1979.46,0.4041356801383798,0.2439418989488333
1980,6,1980.46,0.35580995205780025,0.27118660486108676
1981,6,1981.46,0.270696966312933,0.2743902061307576
1982,6,1982.46,0.2639467813064576,0.2743377985362992
1983,6,1983.46,0.3380090270943023,0.2950282851735787
1984,6,1984.46,0.4457684671521553,0.2829292570968081
1985,6,1985.46,0.5298161799477538,0.2826172089358919
1986,6,1986.46,0.5579674415134361,0.3102539955634322
1987,6,1987.46,0.5147084292400709,0.36187839909868724
1988,6,1988.46,0.45884514430886697,0.35178653124035647
1989,6,1989.46,0.4234116370933317,0.3315930735983826
1990,6,1990.46,0.3964550626547582,0.32009650305713766
1991,6,1991.46,0.41498475840212906,0.3323971170054734
1992,6,1992.46,0.4499555478813058,0.3508577615356391
1993,6,1993.46,0.4866258437036386,0.3530565707628335
1994,6,1994.46,0.4679308109598878,0.3018553217420259
1995,6,1995.46,0.3795397362657867,0.3059109422644487
1996,6,1996.46,0.38077184491370025,0.30295387722334055
1997,6,1997.46,0.5352531762031629,0.29400978531879707
1998,6,1998.46,0.5555369434739266,0.3027456364983261
1999,6,1999.46,0.5222118001352152,0.31503648309250687
2000,6,2000.46,0.48353600425136994,0.30904805007458147
2001,6,2001.46,0.47152986129677715,0.3159507958875616
2002,6,2002.46,0.5250538994083892,0.31416727792634
2003,6,2003.46,0.5314895528837319,0.29727163364236464
2004,6,2004.46,0.6325250499547207,0.3186654245306696
2005,6,2005.46,0.7509226701594348,0.3154609852244079
2006,6,2006.46,0.743764860932694,0.3180264490956815
2007,6,2007.46,0.8071328826017835,0.3220240442008233
2008,6,2008.46,0.833316666832525,0.31909086636553907
2009,6,2009.46,0.7090268565156067,0.32535392322906204
2010,6,2010.46,0.7064037112732621,0.3267528264818168
2011,6,2011.46,1.1735469669336818,0.3388451776997801
2012,6,2012.46,1.629182984233159,0.3613015966488952
2013,6,2013.46,1.61223089932204,0.3665986540176882
2014,6,2014.46,1.6292223932337944,0.3856477013436445
2015,6,2015.46,1.660756646506605,0.3999540318880367
2016,6,2016.46,1.84586792322007,0.4321188225958869
2017,6,2017.46,2.2860273486155758,0.45108234580224854
2018,6,2018.46,2.8397037784711627,0.4774113300021723
2019,6,2019.46,3.264656014070294,0.527367726997819
2020,6,2020.46,3.481729571544443,0.6164002483168438
