# Semihemispheric annual emissions with no systematic uncertainty for CFC-113a 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2022-06-03 22:20:43.984128+00:00 
# Units: Gg/yr 
Year,Month,Decimal_date,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_box0,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_box1,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_box2,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_box3,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_1-sigma_box0,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_1-sigma_box1,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_1-sigma_box2,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_1-sigma_box3
1978,6,1978.46,0.3051598241367426,0.045183906952705695,0.024820941902152564,0.03547402475616179,5.883771187983741,6.796216920771688,1.3812702344593628,0.7539996663411088
1979,6,1979.46,0.2716927473678668,0.0368963411894115,0.02560989977726486,0.03939059698233427,5.8948586557300855,6.795509604222334,1.3801101589938976,0.7546898245716398
1980,6,1980.46,0.1946061975372043,0.024499123004465218,0.02187084310543669,0.043534550831914466,5.877156201394787,6.792594925163805,1.377946975794598,0.7560247293812851
1981,6,1981.46,0.17836722365500898,0.013747452951289846,0.014396329406962229,0.040640749874905124,5.869009505444023,6.795527208329376,1.377762656830172,0.7536608930941565
1982,6,1982.46,0.2472392486881693,0.008717586564805271,0.01157947729129881,0.0394939018267406,5.873835289803435,6.7969635302458675,1.378172327633273,0.7518011976016632
1983,6,1983.46,0.32417476336757156,0.0098576391367287,0.01334610581471646,0.04247875388083772,5.880385134514464,6.793601260968069,1.3787179427600027,0.7534462983159461
1984,6,1984.46,0.3791819273000829,0.012810233702285956,0.017411594340504655,0.050073074350740786,5.886943203217466,6.787710726777684,1.381642203669437,0.7522034396803505
1985,6,1985.46,0.4226391617924445,0.013655808122398305,0.019079755321842307,0.056394874284352754,5.895197111072204,6.786214582420315,1.3827499652775315,0.7515466591484001
1986,6,1986.46,0.42618970732608824,0.013418261135977091,0.021987667783064574,0.06086123755624783,5.891164803515009,6.784064448952315,1.3826541524322995,0.7532033868090563
1987,6,1987.46,0.3901822274482078,0.010803659831656098,0.026935814319638655,0.0639702207586363,5.88257047292524,6.783897238386693,1.381887634026101,0.7531928733077667
1988,6,1988.46,0.35845769550605516,0.008599659320810402,0.03440044952443442,0.06491644778087369,5.877642327736484,6.784670628068558,1.3789673369087805,0.7533093315921892
1989,6,1989.46,0.332433739158049,0.00667055528261315,0.04333102335520956,0.06628133144995067,5.872698987234382,6.781399540032133,1.3793911170798225,0.7523406521352284
1990,6,1990.46,0.30273310852747776,0.004477979987242781,0.051393605879623085,0.06908353435793609,5.872019654690178,6.778961276109522,1.3784641950444678,0.7517390000241763
1991,6,1991.46,0.26685383445774763,0.004302382747668726,0.058458418663470936,0.07156076147965677,5.871297926896999,6.781504754855414,1.379966453203652,0.7513733815422738
