# Global annual mole fraction for CFC-114 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2022-06-03 22:21:19.856050+00:00 
# Units: ppt 
Year,Month,Decimal_date,Global_annual_mole_fraction,Global_annual_mole_fraction_1-sigma
1978,6,1978.46,8.432389457043149,0.2998929891790449
1979,6,1979.46,8.930625564937442,0.31524021657077983
1980,6,1980.46,9.438225418045397,0.32900701277968925
1981,6,1981.46,9.919627333273413,0.34247733942922437
1982,6,1982.46,10.363270167132997,0.3535801683678536
1983,6,1983.46,10.811621541483104,0.36419129100367015
1984,6,1984.46,11.308624118021562,0.3772879090621826
1985,6,1985.46,11.864558740765085,0.39354308072899363
1986,6,1986.46,12.492945021720011,0.4123168795539201
1987,6,1987.46,13.1541035765618,0.4330683432027368
1988,6,1988.46,13.729248089558899,0.4501499847649248
1989,6,1989.46,14.18363939260503,0.461804217245408
1990,6,1990.46,14.52481861854814,0.4703352558379334
1991,6,1991.46,14.738023589475759,0.47659374686637074
1992,6,1992.46,14.867110915646599,0.48247594052246445
1993,6,1993.46,14.95698711867609,0.4860011592314812
1994,6,1994.46,15.027576300138454,0.48649422915931384
1995,6,1995.46,15.080618890801944,0.48658696060464807
1996,6,1996.46,15.1096048969517,0.48739754564269794
1997,6,1997.46,15.125249144785572,0.4873782997401584
1998,6,1998.46,15.134954476537187,0.4874547374607956
1999,6,1999.46,15.135141901648192,0.4881988624090493
2000,6,2000.46,15.135758099670758,0.48897312705536206
2001,6,2001.46,15.145965942813,0.48997376164573253
2002,6,2002.46,15.147165036113847,0.4897527471753356
2003,6,2003.46,15.130151330258407,0.4894312548358896
2004,6,2004.46,15.110286616764823,0.49076827961868347
2005,6,2005.46,15.095862069582921,0.4933377663745057
2006,6,2006.46,15.090045587769525,0.4960630044648272
2007,6,2007.46,15.093701198720375,0.4985541753176179
2008,6,2008.46,15.099274410457381,0.4998559702002023
2009,6,2009.46,15.09861462361806,0.4991584296810204
2010,6,2010.46,15.08768006186439,0.49783466571677576
2011,6,2011.46,15.065330297385115,0.49627396777232363
2012,6,2012.46,15.033339551607236,0.4943034778360081
2013,6,2013.46,14.995270784378304,0.493123054074477
2014,6,2014.46,14.949580306970441,0.4922448193083223
2015,6,2015.46,14.887064507777295,0.49070229982580416
2016,6,2016.46,14.81183885363889,0.48908904002120057
2017,6,2017.46,14.749641680086354,0.4889959492801693
2018,6,2018.46,14.722082578503644,0.4895628805268514
2019,6,2019.46,14.72492243471856,0.49054210273451854
2020,6,2020.46,14.738035309687996,0.4938302027888636
