# Semihemispheric annual emissions with no systematic uncertainty for CFC-114 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2022-02-23 00:25:26.296172+00:00 
# Units: Gg/yr 
Year,Month,Decimal_date,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_box0,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_box1,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_box2,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_box3,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_1-sigma_box0,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_1-sigma_box1,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_1-sigma_box2,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_1-sigma_box3
1978,6,1978.46,7.425529419390609,2.0649726461181577,1.7049696133102683,1.6136289000332529,12.973155861778677,14.109331064320141,1.9754873049050832,2.1204349582100988
1979,6,1979.46,8.170376420634485,2.0968584234659002,1.7884310070433498,1.6888608441781372,12.987434755886913,14.108200572359541,1.9746026764120108,2.1174662053796145
1980,6,1980.46,8.151477453728694,2.183724975126805,1.8648681406339092,1.7639816263345234,13.005529853997386,14.101584426136357,1.974776274276001,2.1151901710119856
1981,6,1981.46,8.852667091134707,2.2671136429429652,1.9119496717100677,1.818440933554921,13.002826900398809,14.103321323003708,1.9713447232823245,2.1140139515286336
1982,6,1982.46,8.784649805480324,2.2022162819196605,1.932664873713861,1.8830337215219546,12.991281334106334,14.100725309844705,1.9687233539182918,2.118266453970618
1983,6,1983.46,10.421494987450524,2.226923660721517,1.9891693979899079,1.9690765122729597,12.969417005374106,14.102266664031033,1.9675062006476696,2.1182707722428273
1984,6,1984.46,11.424404387609941,2.5201201472693495,2.121337020438646,2.063713736529,12.961219639334402,14.101547045240144,1.9668871614621488,2.116937437839528
1985,6,1985.46,10.466614178425845,2.6995601585456233,2.255532612300165,2.1353517154720625,12.941765061293934,14.099002443955255,1.9664644119288874,2.119584076343067
1986,6,1986.46,8.744570112417176,3.0296270541337704,2.4812524951785946,2.3593780801092943,12.931234227882657,14.098582660765707,1.9664361758648086,2.1208872534042853
1987,6,1987.46,7.945307610396028,3.3463678104778722,2.6177587017830537,2.4868883007652056,12.92255582394471,14.100601987060775,1.965342413944331,2.118575581921066
1988,6,1988.46,7.843368433766416,3.238031780072433,2.579500281951509,2.4425821579363016,12.919807755770059,14.102361705506384,1.9676546879026418,2.1192346112385283
1989,6,1989.46,8.531450836589745,3.081454951918588,2.4942399662772003,2.3968127341268017,12.936656005915271,14.100485764045995,1.9658685280908184,2.1192431522502564
1990,6,1990.46,6.418615004635854,2.6226066233725303,2.2950338779568926,2.2674213427631815,12.963957830633191,14.09738267681387,1.9659342420136043,2.1204095185504017
1991,6,1991.46,4.146591959055235,2.207063932863932,2.0544948389414976,2.1148537643154843,13.00717739415752,14.086988821315243,1.9660792834360208,2.121846044100493
1992,6,1992.46,4.482637461176646,1.8785100178902272,1.942728023761976,2.1651016764455813,13.031266622954865,14.086412384328135,1.9666844340915335,2.1226605688438873
1993,6,1993.46,3.8010300510870985,1.420891367720636,1.716658319539668,2.130661851196284,13.017373914678771,14.083163086051078,1.9667693015158099,2.127223422955087
1994,6,1994.46,2.098072646621454,1.006848032159812,1.3730819291796375,1.8694490282697662,12.983697181257181,14.087879650036202,1.9631112519278724,2.123701237598626
1995,6,1995.46,0.5967667272505565,0.7429531561215281,1.058151437304567,1.5919338922589008,12.981570339795056,14.08699819733101,1.9612155162904272,2.1220810404561625
