# UEA/FJZ data for H-1202
# Created by lw13938 on 2025-04-11 11:46:10.466516
# Contact data owners before use 
# This file contains data from the following sites/instruments: 
#===================================================
# CGO 
#   1. GCMS
#------------------
# SCALE: UEA
# UNITS: ppt
var,mf,mf,mf,mf,mf_variability,mf_variability,mf_variability,mf_variability,sites,sites,sites,sites,instruments,instruments,instruments,instruments
box,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3
1977-10-01,,,,0.007,,,,0.00021700000000000002,,,,CGO,,,,GCMS
1977-11-01,,,,,,,,,,,,,,,,
1977-12-01,,,,,,,,,,,,,,,,
1978-01-01,,,,0.0065,,,,0.0002015,,,,CGO,,,,GCMS
1978-02-01,,,,,,,,,,,,,,,,
1978-03-01,,,,,,,,,,,,,,,,
1978-04-01,,,,,,,,,,,,,,,,
1978-05-01,,,,0.008,,,,0.000248,,,,CGO,,,,GCMS
1978-06-01,,,,,,,,,,,,,,,,
1978-07-01,,,,,,,,,,,,,,,,
1978-08-01,,,,0.008,,,,0.000248,,,,CGO,,,,GCMS
1978-09-01,,,,,,,,,,,,,,,,
1978-10-01,,,,,,,,,,,,,,,,
1978-11-01,,,,,,,,,,,,,,,,
1978-12-01,,,,,,,,,,,,,,,,
1979-01-01,,,,,,,,,,,,,,,,
1979-02-01,,,,,,,,,,,,,,,,
1979-03-01,,,,,,,,,,,,,,,,
1979-04-01,,,,,,,,,,,,,,,,
1979-05-01,,,,,,,,,,,,,,,,
1979-06-01,,,,,,,,,,,,,,,,
1979-07-01,,,,,,,,,,,,,,,,
1979-08-01,,,,,,,,,,,,,,,,
1979-09-01,,,,,,,,,,,,,,,,
1979-10-01,,,,,,,,,,,,,,,,
1979-11-01,,,,,,,,,,,,,,,,
1979-12-01,,,,,,,,,,,,,,,,
1980-01-01,,,,,,,,,,,,,,,,
1980-02-01,,,,,,,,,,,,,,,,
1980-03-01,,,,0.009,,,,0.00027899999999999995,,,,CGO,,,,GCMS
1980-04-01,,,,,,,,,,,,,,,,
1980-05-01,,,,,,,,,,,,,,,,
1980-06-01,,,,,,,,,,,,,,,,
1980-07-01,,,,,,,,,,,,,,,,
1980-08-01,,,,,,,,,,,,,,,,
1980-09-01,,,,,,,,,,,,,,,,
1980-10-01,,,,,,,,,,,,,,,,
1980-11-01,,,,,,,,,,,,,,,,
1980-12-01,,,,,,,,,,,,,,,,
1981-01-01,,,,,,,,,,,,,,,,
1981-02-01,,,,,,,,,,,,,,,,
1981-03-01,,,,,,,,,,,,,,,,
1981-04-01,,,,,,,,,,,,,,,,
1981-05-01,,,,,,,,,,,,,,,,
1981-06-01,,,,,,,,,,,,,,,,
1981-07-01,,,,,,,,,,,,,,,,
1981-08-01,,,,0.01,,,,0.00031,,,,CGO,,,,GCMS
1981-09-01,,,,,,,,,,,,,,,,
1981-10-01,,,,,,,,,,,,,,,,
1981-11-01,,,,0.011,,,,0.000341,,,,CGO,,,,GCMS
1981-12-01,,,,,,,,,,,,,,,,
1982-01-01,,,,,,,,,,,,,,,,
1982-02-01,,,,,,,,,,,,,,,,
1982-03-01,,,,,,,,,,,,,,,,
1982-04-01,,,,,,,,,,,,,,,,
1982-05-01,,,,,,,,,,,,,,,,
1982-06-01,,,,,,,,,,,,,,,,
1982-07-01,,,,,,,,,,,,,,,,
1982-08-01,,,,,,,,,,,,,,,,
1982-09-01,,,,,,,,,,,,,,,,
1982-10-01,,,,,,,,,,,,,,,,
1982-11-01,,,,,,,,,,,,,,,,
1982-12-01,,,,,,,,,,,,,,,,
1983-01-01,,,,,,,,,,,,,,,,
1983-02-01,,,,0.012,,,,0.000372,,,,CGO,,,,GCMS
1983-03-01,,,,,,,,,,,,,,,,
1983-04-01,,,,,,,,,,,,,,,,
1983-05-01,,,,,,,,,,,,,,,,
1983-06-01,,,,,,,,,,,,,,,,
1983-07-01,,,,,,,,,,,,,,,,
1983-08-01,,,,,,,,,,,,,,,,
1983-09-01,,,,,,,,,,,,,,,,
1983-10-01,,,,,,,,,,,,,,,,
1983-11-01,,,,,,,,,,,,,,,,
1983-12-01,,,,,,,,,,,,,,,,
1984-01-01,,,,,,,,,,,,,,,,
1984-02-01,,,,,,,,,,,,,,,,
1984-03-01,,,,,,,,,,,,,,,,
1984-04-01,,,,,,,,,,,,,,,,
1984-05-01,,,,,,,,,,,,,,,,
1984-06-01,,,,,,,,,,,,,,,,
1984-07-01,,,,,,,,,,,,,,,,
1984-08-01,,,,,,,,,,,,,,,,
1984-09-01,,,,,,,,,,,,,,,,
1984-10-01,,,,,,,,,,,,,,,,
1984-11-01,,,,,,,,,,,,,,,,
1984-12-01,,,,,,,,,,,,,,,,
1985-01-01,,,,,,,,,,,,,,,,
1985-02-01,,,,0.0153,,,,0.0004743,,,,CGO,,,,GCMS
1985-03-01,,,,,,,,,,,,,,,,
1985-04-01,,,,,,,,,,,,,,,,
1985-05-01,,,,,,,,,,,,,,,,
1985-06-01,,,,,,,,,,,,,,,,
1985-07-01,,,,,,,,,,,,,,,,
1985-08-01,,,,0.015,,,,0.00046499999999999997,,,,CGO,,,,GCMS
1985-09-01,,,,,,,,,,,,,,,,
1985-10-01,,,,,,,,,,,,,,,,
1985-11-01,,,,,,,,,,,,,,,,
1985-12-01,,,,,,,,,,,,,,,,
1986-01-01,,,,,,,,,,,,,,,,
1986-02-01,,,,,,,,,,,,,,,,
1986-03-01,,,,,,,,,,,,,,,,
1986-04-01,,,,,,,,,,,,,,,,
1986-05-01,,,,0.02,,,,0.00062,,,,CGO,,,,GCMS
1986-06-01,,,,,,,,,,,,,,,,
1986-07-01,,,,0.017,,,,0.000527,,,,CGO,,,,GCMS
1986-08-01,,,,,,,,,,,,,,,,
1986-09-01,,,,,,,,,,,,,,,,
1986-10-01,,,,,,,,,,,,,,,,
1986-11-01,,,,0.018,,,,0.0005579999999999999,,,,CGO,,,,GCMS
1986-12-01,,,,,,,,,,,,,,,,
1987-01-01,,,,,,,,,,,,,,,,
1987-02-01,,,,,,,,,,,,,,,,
1987-03-01,,,,,,,,,,,,,,,,
1987-04-01,,,,,,,,,,,,,,,,
1987-05-01,,,,,,,,,,,,,,,,
1987-06-01,,,,,,,,,,,,,,,,
1987-07-01,,,,,,,,,,,,,,,,
1987-08-01,,,,,,,,,,,,,,,,
1987-09-01,,,,,,,,,,,,,,,,
1987-10-01,,,,,,,,,,,,,,,,
1987-11-01,,,,,,,,,,,,,,,,
1987-12-01,,,,0.02,,,,0.00062,,,,CGO,,,,GCMS
1988-01-01,,,,,,,,,,,,,,,,
1988-02-01,,,,,,,,,,,,,,,,
1988-03-01,,,,,,,,,,,,,,,,
1988-04-01,,,,,,,,,,,,,,,,
1988-05-01,,,,,,,,,,,,,,,,
1988-06-01,,,,,,,,,,,,,,,,
1988-07-01,,,,,,,,,,,,,,,,
1988-08-01,,,,,,,,,,,,,,,,
1988-09-01,,,,,,,,,,,,,,,,
1988-10-01,,,,0.021,,,,0.000651,,,,CGO,,,,GCMS
1988-11-01,,,,,,,,,,,,,,,,
1988-12-01,,,,,,,,,,,,,,,,
1989-01-01,,,,,,,,,,,,,,,,
1989-02-01,,,,,,,,,,,,,,,,
1989-03-01,,,,,,,,,,,,,,,,
1989-04-01,,,,,,,,,,,,,,,,
1989-05-01,,,,,,,,,,,,,,,,
1989-06-01,,,,,,,,,,,,,,,,
1989-07-01,,,,,,,,,,,,,,,,
1989-08-01,,,,,,,,,,,,,,,,
1989-09-01,,,,,,,,,,,,,,,,
1989-10-01,,,,,,,,,,,,,,,,
1989-11-01,,,,0.023,,,,0.000713,,,,CGO,,,,GCMS
1989-12-01,,,,,,,,,,,,,,,,
1990-01-01,,,,,,,,,,,,,,,,
1990-02-01,,,,,,,,,,,,,,,,
1990-03-01,,,,,,,,,,,,,,,,
1990-04-01,,,,,,,,,,,,,,,,
1990-05-01,,,,,,,,,,,,,,,,
1990-06-01,,,,0.023,,,,0.000713,,,,CGO,,,,GCMS
1990-07-01,,,,,,,,,,,,,,,,
1990-08-01,,,,,,,,,,,,,,,,
1990-09-01,,,,0.019,,,,0.000589,,,,CGO,,,,GCMS
1990-10-01,,,,,,,,,,,,,,,,
1990-11-01,,,,,,,,,,,,,,,,
1990-12-01,,,,0.023,,,,0.000713,,,,CGO,,,,GCMS
1991-01-01,,,,0.023,,,,0.000713,,,,CGO,,,,GCMS
1991-02-01,,,,,,,,,,,,,,,,
1991-03-01,,,,,,,,,,,,,,,,
1991-04-01,,,,,,,,,,,,,,,,
1991-05-01,,,,,,,,,,,,,,,,
1991-06-01,,,,,,,,,,,,,,,,
1991-07-01,,,,0.022,,,,0.000682,,,,CGO,,,,GCMS
1991-08-01,,,,0.023,,,,0.000713,,,,CGO,,,,GCMS
1991-09-01,,,,,,,,,,,,,,,,
1991-10-01,,,,0.024,,,,0.000744,,,,CGO,,,,GCMS
1991-11-01,,,,,,,,,,,,,,,,
1991-12-01,,,,,,,,,,,,,,,,
1992-01-01,,,,0.026,,,,0.000806,,,,CGO,,,,GCMS
1992-02-01,,,,,,,,,,,,,,,,
1992-03-01,,,,0.025,,,,0.000775,,,,CGO,,,,GCMS
1992-04-01,,,,,,,,,,,,,,,,
1992-05-01,,,,,,,,,,,,,,,,
1992-06-01,,,,,,,,,,,,,,,,
1992-07-01,,,,,,,,,,,,,,,,
1992-08-01,,,,,,,,,,,,,,,,
1992-09-01,,,,,,,,,,,,,,,,
1992-10-01,,,,,,,,,,,,,,,,
1992-11-01,,,,,,,,,,,,,,,,
1992-12-01,,,,0.025750000000000002,,,,0.00079825,,,,CGO,,,,GCMS
1993-01-01,,,,,,,,,,,,,,,,
1993-02-01,,,,0.025,,,,0.0007750000000000001,,,,CGO,,,,GCMS
1993-03-01,,,,0.028,,,,0.0008680000000000001,,,,CGO,,,,GCMS
1993-04-01,,,,,,,,,,,,,,,,
1993-05-01,,,,,,,,,,,,,,,,
1993-06-01,,,,,,,,,,,,,,,,
1993-07-01,,,,,,,,,,,,,,,,
