# Global annual emissions for H-1202 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2025-07-09 13:59:14.729132+00:00 
# Units: Gg/yr 
Year,Month,Decimal_date,Global_annual_emissions,Global_annual_emissions_1-sigma
1977,6,1977.46,-3.885780586188048e-16,0.6825627071641226
1978,6,1978.46,-4.440892098500626e-16,0.49256037775805683
1979,6,1979.46,0.0,
1980,6,1980.46,-1.1102230246251565e-16,0.6915414022458125
1981,6,1981.46,0.014851249032214464,0.3870534433167358
1982,6,1982.46,0.558863686507083,0.767435793376486
1983,6,1983.46,0.024570695788699082,0.7284846083282325
1984,6,1984.46,0.24938346318596963,0.6778539164561572
1985,6,1985.46,0.16888130703062712,0.6111668715303296
1986,6,1986.46,0.1536627019933636,0.2842335684434929
1987,6,1987.46,0.27812429687448864,0.5963675076771545
1988,6,1988.46,0.25184555822417615,0.5472308769847489
1989,6,1989.46,0.2542285091881141,0.4384116523056538
1990,6,1990.46,0.3023173904860435,0.24679642217647232
1991,6,1991.46,0.37138269177940936,0.2722774583986507
1992,6,1992.46,0.21407244502245967,0.3080490943969243
1993,6,1993.46,0.2548298956566764,0.27982099780237113
1994,6,1994.46,0.3213902138553916,0.26399083809029633
1995,6,1995.46,0.3894695060684392,0.2970829195753259
1996,6,1996.46,0.41437833111758837,0.2818805825499965
1997,6,1997.46,0.4943925223739354,0.43215724375425996
1998,6,1998.46,1.4742582388703849,0.33691870524352585
1999,6,1999.46,0.18460492605293619,0.5087230156498431
2000,6,2000.46,0.4946079765525282,0.45459775670414704
2001,6,2001.46,0.8886237541415077,0.34777139363369675
2002,6,2002.46,0.2261720018100286,0.39806220456910163
2003,6,2003.46,0.3826244214649255,0.29305203010837483
2004,6,2004.46,0.17575015917185696,0.42938530544121567
2005,6,2005.46,1.2574776724622987,0.6639871840260354
2006,6,2006.46,0.27369719299623246,0.5911779411035817
2007,6,2007.46,0.09231707420026199,0.5585425447070205
2008,6,2008.46,0.24117557202383125,0.46621015638179586
2009,6,2009.46,0.1679382803601732,0.457885092733092
2010,6,2010.46,0.223405059804041,0.31022337330244176
2011,6,2011.46,0.25055194458211444,0.419191401325174
2012,6,2012.46,0.12642950338252865,0.2480744412390738
2013,6,2013.46,0.1891842705891237,0.20089424699009575
2014,6,2014.46,0.10001323404156331,0.20305091233953337
2015,6,2015.46,0.09596092382187953,0.17472767445501416
2016,6,2016.46,0.15519632042716203,0.41794227291621017
2017,6,2017.46,0.14491842378450945,0.2614072389644231
2018,6,2018.46,0.20121963846402927,0.13534503888571592
2019,6,2019.46,0.06556632622400162,0.12014656770398348
2020,6,2020.46,0.09587005636068006,0.11195094867575618
2021,6,2021.46,0.05808576238215438,0.10528445686944962
2022,6,2022.46,0.07463152655494067,0.12493821259894884
2023,6,2023.46,0.051995041557924,1.0689784772230992
