# Global annual mole fraction for H-1202 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2025-07-09 13:59:14.705484+00:00 
# Units: ppt 
Year,Month,Decimal_date,Global_annual_mole_fraction,Global_annual_mole_fraction_1-sigma
1977,6,1977.46,0.05205303348310917,0.02326025749922119
1978,6,1978.46,0.03506937705849868,0.020344916430539553
1979,6,1979.46,0.023838146222581055,0.01947107661635048
1980,6,1980.46,0.0163010710943868,0.024321631116649922
1981,6,1981.46,0.011411050646832184,0.021745416491015686
1982,6,1982.46,0.0163628576260274,0.0209976665019242
1983,6,1983.46,0.017696750458902993,0.026495136167171963
1984,6,1984.46,0.01525698862261929,0.026175147255871754
1985,6,1985.46,0.01514098684437284,0.024677210981065775
1986,6,1986.46,0.013940880173708139,0.01760240575974793
1987,6,1987.46,0.014866214325194112,0.013180012142417494
1988,6,1988.46,0.016374153355818936,0.01571669608871424
1989,6,1989.46,0.01709615259351704,0.012396575514802225
1990,6,1990.46,0.018198705393107677,0.009011239659487164
1991,6,1991.46,0.02050113717413954,0.006193019470561789
1992,6,1992.46,0.020435434780143046,0.0065120525250961046
1993,6,1993.46,0.01923510026981449,0.006955878546473679
1994,6,1994.46,0.0200685963610571,0.006379523748525816
1995,6,1995.46,0.022374877168188114,0.0063665935643148
1996,6,1996.46,0.024967285998954522,0.007206384566994652
1997,6,1997.46,0.02806904606071092,0.009870285007744464
1998,6,1998.46,0.045309627697482126,0.010239401981442044
1999,6,1999.46,0.04856727111879334,0.010008870338818117
2000,6,2000.46,0.03980043392536249,0.013710629139234733
2001,6,2001.46,0.04396287191010134,0.01231787483234334
2002,6,2002.46,0.04176888716648555,0.00859931820632936
2003,6,2003.46,0.03467207330647017,0.007735409873435989
2004,6,2004.46,0.02911272629951758,0.00871736862034773
2005,6,2005.46,0.0394788639897423,0.014726360224229938
2006,6,2006.46,0.04395053274795788,0.019241574261573108
2007,6,2007.46,0.032131639966420454,0.018190647497009403
2008,6,2008.46,0.025104729031828216,0.018173605481944285
2009,6,2009.46,0.021471540504391106,0.012299409975008052
2010,6,2010.46,0.01919319876449262,0.00886585201939707
2011,6,2011.46,0.018613918580599603,0.008475718977659146
2012,6,2012.46,0.01673028435581966,0.0083091233120726
2013,6,2013.46,0.01491791576929228,0.006034508802351522
2014,6,2014.46,0.013232484848751376,0.005276134829936248
2015,6,2015.46,0.011093236926716923,0.004052175388055137
2016,6,2016.46,0.010587532818264635,0.007032460624082635
2017,6,2017.46,0.010722428029298391,0.007709361503631107
2018,6,2018.46,0.011439987248395803,0.004543414496589689
2019,6,2019.46,0.010558549644737958,0.002810747637475075
2020,6,2020.46,0.008837283600575578,0.0023972036279369976
2021,6,2021.46,0.007630840121506776,0.0023059093003190765
2022,6,2022.46,0.006647961300449243,0.002845432031305548
2023,6,2023.46,0.005921307985342964,0.01647067776720458
