# Global mole fraction growth rate for H-1202 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2025-07-09 13:59:14.710555+00:00 
# Units: ppt 
Year,Month,Decimal_date,Global_mole_fraction_growth_rate,Global_mole_fraction_growth_rate_1-sigma
1977,1,1977.04,-0.02529364226536717,0.01237755597368415
1977,2,1977.12,-0.024369469400288703,0.011735688434047799
1977,3,1977.21,-0.02348679322657991,0.011223727039991182
1977,4,1977.29,-0.02264415249045146,0.010787927521963012
1977,5,1977.37,-0.021839433403937892,0.010361875452281094
1977,6,1977.46,-0.02106953365327242,0.009898286359349482
1977,7,1977.54,-0.02033083588709746,0.009388479502017419
1977,8,1977.62,-0.0196195688721548,0.008869789516857752
1977,9,1977.71,-0.018932843539135765,0.008432433403570177
1977,10,1977.79,-0.018268974570544872,0.008205496919898879
1977,11,1977.87,-0.017627839086520783,0.00830912547825737
1977,12,1977.96,-0.01701020431091033,0.00877997573867705
1978,1,1978.04,-0.01641698672026007,0.009542474808471861
1978,2,1978.12,-0.01584833161395163,0.010451376571953469
1978,3,1978.21,-0.015303723362804009,0.01135682252875834
1978,4,1978.29,-0.014782133547122113,0.01213965780018588
1978,5,1978.37,-0.014282351420923012,0.012720953952577326
1978,6,1978.46,-0.013802619300984559,0.013066925360955868
1978,7,1978.54,-0.013340833393859657,0.013186730025615512
1978,8,1978.62,-0.012894787584796619,0.013134086651464618
1978,9,1978.71,-0.012462851554999335,0.01299441683087013
1978,10,1978.79,-0.012044170280945926,0.012867640765613983
1978,11,1978.87,-0.011638827544472924,0.012844423381959754
1978,12,1978.96,-0.011247451775619829,0.01297486522558962
1979,1,1979.04,-0.010870758499753093,0.01324969522221181
1979,2,1979.12,-0.01050892517179836,0.013604497393097255
1979,3,1979.21,-0.010161666043806859,0.013951391975969452
1979,4,1979.29,-0.00982834374591921,0.014205890258380137
1979,5,1979.37,-0.00950823048381801,0.014300641893257518
1979,6,1979.46,-0.009200249297742168,0.014200553636165474
1979,7,1979.54,-0.008903092002574829,0.013907923272565157
1979,8,1979.62,-0.008615324986906222,0.013462567048089631
