# Semihemispheric annual emissions for H-1202 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2025-07-09 13:59:14.733220+00:00 
# Units: Gg/yr 
Year,Month,Decimal_date,Semihemispheric_annual_emissions_box0,Semihemispheric_annual_emissions_box1,Semihemispheric_annual_emissions_box2,Semihemispheric_annual_emissions_box3,Semihemispheric_annual_emissions_1-sigma_box0,Semihemispheric_annual_emissions_1-sigma_box1,Semihemispheric_annual_emissions_1-sigma_box2,Semihemispheric_annual_emissions_1-sigma_box3
1977,6,1977.46,-4.440892098500626e-16,1.3877787807814457e-17,1.3877787807814457e-17,2.7755575615628914e-17,1.2880818868087058,0.9232554054126733,0.560539432823169,0.2833601750017469
1978,6,1978.46,-4.440892098500626e-16,0.0,0.0,0.0,1.04852519531519,0.9162464543059704,0.5345667285271768,0.25443309302005146
1979,6,1979.46,0.0,0.0,0.0,0.0,,,,
1980,6,1980.46,0.0,-2.7755575615628914e-17,-2.7755575615628914e-17,-5.551115123125783e-17,1.1893784686242275,0.8838751692263567,0.456117901047404,0.2648954011456424
1981,6,1981.46,0.012573321098569679,0.002277927933644869,-2.7755575615628914e-17,-5.551115123125783e-17,0.9439746089125992,0.8719941689930287,0.44582999071513646,0.3245875357630666
1982,6,1982.46,0.5215943948539197,0.003175472775845095,0.007999755988332274,0.026094062888986136,1.1766884408598588,0.861753142494354,0.4109824102565032,0.3193790649570414
1983,6,1983.46,0.0020780256404533404,0.002063996796071943,0.01729183000938217,0.0031368433427916287,1.1754663332286892,0.8520571539476853,0.3999400101016557,0.34457585917192374
1984,6,1984.46,0.11822292383675403,0.0023900269611049074,0.04394091094110858,0.0848296014470022,1.1653871520987769,0.8372243844425232,0.3789621928476728,0.34913492865475765
1985,6,1985.46,0.023195489311950368,0.045544460046224346,0.08205852426605094,0.01808283340640149,1.094925474821994,0.8327107814227712,0.34854109256027127,0.36064079350031936
1986,6,1986.46,0.0033398096288390633,0.0017762091115470224,0.0015681508278248546,0.14697853242515266,0.7787920954187616,0.816955516252509,0.2888205745306495,0.3070562536517967
1987,6,1987.46,0.005426213030826688,0.04634471975821558,0.08562477428581916,0.14072858979962719,0.9821764996559735,0.7943807090772524,0.29714005074719835,0.23156184551033154
1988,6,1988.46,0.029837494269992604,0.020549066582036035,0.07512595447200177,0.12633304290014583,0.984771228105378,0.7787551062499015,0.3143996867355816,0.25289246234410967
1989,6,1989.46,0.033739043706411564,-5.551115123125783e-17,0.043107396725995506,0.17738206875570706,0.8958101131368295,0.7646674611658447,0.31023022684723167,0.20870224451795152
1990,6,1990.46,0.07358257307181049,0.05085997038682,0.06303672262509286,0.11483812440232022,0.7337328364359269,0.7455300634677129,0.3031149512716197,0.17264343206363422
1991,6,1991.46,0.07324888065248203,0.07696298284310321,0.11081928718079471,0.11035154110302936,0.6995849139149245,0.7313312470511634,0.27321581979271004,0.16760260477644964
1992,6,1992.46,3.552713678800501e-15,0.003819857760231582,0.007851822921467522,0.20240076434075704,0.7880485150830262,0.7151359078780437,0.2605197635679697,0.17357149824558546
1993,6,1993.46,0.0019129078745230288,0.0019715026183600437,0.05071272583344977,0.20023275933034365,0.718680781799677,0.7086763475272,0.2468125110129556,0.1473877968513449
1994,6,1994.46,0.001416839798864089,5.551115123125783e-17,0.039086947532385674,0.2808864265241418,0.6942156900685125,0.6985787713901574,0.23081798199924766,0.1464547201521336
1995,6,1995.46,0.0005990341777390995,0.004540675536083394,0.06899948113252162,0.3153303152220951,0.7181813220042038,0.688521513094009,0.22456830840096742,0.13947039492869234
1996,6,1996.46,0.003251479712647054,0.004916371308862799,0.0008471385779574292,0.40536334151812087,0.6769801428818217,0.6706095441596498,0.2286430119574267,0.15234941075158487
1997,6,1997.46,0.0051333851939272535,0.018370564303303638,0.07714559432874334,0.3937429785479611,0.8078869012824913,0.6689093617457196,0.24632102614673596,0.17251610284942867
1998,6,1998.46,1.169148741631302,0.0,0.0,0.30510949723908315,0.7002083843899527,0.6515206443858048,0.2579812619777428,0.1538055242975393
1999,6,1999.46,0.006931205359993697,0.020148572866887204,0.053688208710915834,0.10383693911513947,0.8014456953936363,0.6328796551504126,0.26505891919055025,0.16102491057918955
2000,6,2000.46,0.013750697103209752,0.03864229433021066,0.1877116686211164,0.2545033164979915,0.8166963257415633,0.6241194469229763,0.27610467539569833,0.18129124997261112
2001,6,2001.46,0.6979511889920955,0.009548323846799878,0.007706608705227519,0.17341763259738485,0.6505987481415926,0.6060260457403254,0.2818081034573401,0.1492635295608797
2002,6,2002.46,0.016053064755410684,0.027103397209910507,0.08562085872289792,0.0973946811218095,0.6501217401213338,0.6005097851427167,0.2993675862408434,0.16960671965566096
2003,6,2003.46,0.0318422164284482,0.04174715402476759,0.13981824130510567,0.16921680970660402,0.589772800182573,0.5911999161141873,0.2857213065437743,0.17160504733834306
2004,6,2004.46,0.005229751555784645,0.00044249047598197977,0.0004556483684426821,0.16962226877164763,0.7630047861112607,0.5780475455749009,0.29764242473366415,0.1876945350725675
2005,6,2005.46,1.0509344519079262,6.938893903907228e-18,0.06885252829857456,0.13769069225579741,0.9420941961935273,0.5730127448096759,0.31291664255660523,0.17254854268677242
2006,6,2006.46,0.27369719299623246,-6.938893903907228e-18,-6.938893903907228e-18,-1.3877787807814457e-17,0.9368079224279962,0.5685105115482473,0.32476994461778186,0.23163409552045583
2007,6,2007.46,0.014559009610744383,0.014058950715832056,0.03312221462273477,0.030576899250950803,0.8738923981225264,0.5623244727083494,0.32438795249386415,0.23899810151740167
2008,6,2008.46,0.1175267284074135,0.030261965280577622,0.04780302270986064,0.045583855625979615,0.8094749803361323,0.54721836754163,0.30882453995947756,0.23934752710763052
2009,6,2009.46,0.08677094768735762,0.0417122023023919,0.0021325680607078698,0.03732256230971582,0.6812732695516254,0.5319641131796066,0.2815996119358678,0.2074213905005802
2010,6,2010.46,0.02859169689857825,0.03860118433217398,0.09957258023881387,0.05663959833447493,0.6138586387077309,0.5094649537480277,0.25441820701884044,0.16293513793944106
2011,6,2011.46,0.12076774640302014,0.00016073260630683484,0.07685796157244718,0.052765504000340226,0.695736084346664,0.49427443120018066,0.25266189470908457,0.15351894061180119
2012,6,2012.46,0.0019044003343169568,0.0024372378538029533,0.05590162058171603,0.06618624461269267,0.5123909769484175,0.4683187828513745,0.2344057811329973,0.13315393095985661
2013,6,2013.46,0.03343001785758542,0.033761050627142145,0.08018479957655408,0.04180840252784208,0.48931966942989286,0.461662704789988,0.19319278946143534,0.10168744963053954
2014,6,2014.46,0.0,0.0007097686089697664,0.024859748033120476,0.07444371739947307,0.44622103630987137,0.45244863206465114,0.1645193755494839,0.09889412604206885
2015,6,2015.46,0.0,0.0,0.0,0.09596092382187953,0.44770875343300165,0.44136947055028514,0.1311277324452813,0.0995165814068322
2016,6,2016.46,0.03598678563394375,0.015041184442756343,0.02510445742238075,0.07906389292808122,0.735045567473199,0.4253951196965237,0.16752133750996354,0.08806524809735224
2017,6,2017.46,0.033482927970981236,0.04744451219476215,1.2797921701532798e-05,0.06397818569706458,0.45515852444450017,0.4208886873491053,0.1459493969505381,0.09232245002047174
2018,6,2018.46,0.10165124616405395,0.06726597025813193,0.023428968012351396,0.008873454029492061,0.37554411958148487,0.4054313558151269,0.10749932441115854,0.08251465363685201
2019,6,2019.46,0.010866745735681067,0.016739151490321447,0.03796042899799912,0.0,0.3850923153173942,0.40573820287911033,0.09535606253429231,0.06309478547721024
2020,6,2020.46,0.03161852854027937,0.031813297366407416,0.001318290774016963,0.03111993967997632,0.3744908746645274,0.41790253214730333,0.08600894807772329,0.05195680705944276
2021,6,2021.46,0.004466650641348316,0.007767598773580812,0.037359141813407735,0.008492371153817508,0.41382154577627206,0.4475836111794022,0.08200563257648617,0.04389766903185627
2022,6,2022.46,0.018077636349392242,0.011308381372830545,0.02383803603558664,0.021407472797131257,0.5043642764901598,0.48132852797544595,0.07353162386178709,0.04067140623285621
2023,6,2023.46,0.00014574132649378628,0.0037138700916359356,0.010112402828856755,0.03802302731093753,1.15300419599124,0.5097672755916847,0.19376380700323403,0.04854942944744068
