# Semihemispheric annual emissions with no systematic uncertainty for H-1202 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2025-07-09 13:59:14.736835+00:00 
# Units: Gg/yr 
Year,Month,Decimal_date,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_box0,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_box1,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_box2,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_box3,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_1-sigma_box0,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_1-sigma_box1,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_1-sigma_box2,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_1-sigma_box3
1977,6,1977.46,-4.440892098500626e-16,1.3877787807814457e-17,1.3877787807814457e-17,2.7755575615628914e-17,1.3380451206562667,0.9732929817570672,0.5513595182147577,0.28409855652913124
1978,6,1978.46,-4.440892098500626e-16,0.0,0.0,0.0,1.0670353504095214,0.958566071828094,0.5208119532777815,0.25545428396170183
1979,6,1979.46,0.0,0.0,0.0,0.0,,,,
1980,6,1980.46,0.0,-2.7755575615628914e-17,-2.7755575615628914e-17,-5.551115123125783e-17,1.1941669253793898,0.914260340180724,0.45573677120765077,0.2841654067830014
1981,6,1981.46,0.012573321098569679,0.002277927933644869,-2.7755575615628914e-17,-5.551115123125783e-17,0.9578827900930497,0.9071744719623759,0.44515846477450033,0.3325168311280968
1982,6,1982.46,0.5215943948539197,0.003175472775845095,0.007999755988332274,0.026094062888986136,1.1853563378729046,0.8869654708448579,0.4008328884732975,0.32070396429883885
1983,6,1983.46,0.0020780256404533404,0.002063996796071943,0.01729183000938217,0.0031368433427916287,1.158234484667579,0.8762613797774138,0.37723985355816786,0.34944085439049555
1984,6,1984.46,0.11822292383675403,0.0023900269611049074,0.04394091094110858,0.0848296014470022,1.1561212045200122,0.8658728844217597,0.3581368413231399,0.34846161240233475
1985,6,1985.46,0.023195489311950368,0.045544460046224346,0.08205852426605094,0.01808283340640149,1.0943395183045763,0.8458533457633823,0.33797714961581193,0.3540333994809663
1986,6,1986.46,0.0033398096288390633,0.0017762091115470224,0.0015681508278248546,0.14697853242515266,0.8135702529087694,0.8262589308566111,0.2804828615507126,0.2884984332889678
1987,6,1987.46,0.005426213030826688,0.04634471975821558,0.08562477428581916,0.14072858979962719,1.0407638681019808,0.8092299576676191,0.29191071279746655,0.22286725977343264
1988,6,1988.46,0.029837494269992604,0.020549066582036035,0.07512595447200177,0.12633304290014583,0.9866845771285494,0.7836600346014838,0.29479021454511656,0.24228184335726258
1989,6,1989.46,0.033739043706411564,-5.551115123125783e-17,0.043107396725995506,0.17738206875570706,0.893474111973019,0.7675129868274695,0.2926751025155749,0.19649336551227678
1990,6,1990.46,0.07358257307181049,0.05085997038682,0.06303672262509286,0.11483812440232022,0.7296708366032308,0.7539684170571771,0.290363248719559,0.16693217667145893
1991,6,1991.46,0.07324888065248203,0.07696298284310321,0.11081928718079471,0.11035154110302936,0.7074503597265085,0.7370790225654085,0.258550228535022,0.15933681390434165
1992,6,1992.46,3.552713678800501e-15,0.003819857760231582,0.007851822921467522,0.20240076434075704,0.8166049136736038,0.7217467222617592,0.24695649699545108,0.14638784548810627
1993,6,1993.46,0.0019129078745230288,0.0019715026183600437,0.05071272583344977,0.20023275933034365,0.7439441575887482,0.7044145049725723,0.23489113055985236,0.12799863712140833
1994,6,1994.46,0.001416839798864089,5.551115123125783e-17,0.039086947532385674,0.2808864265241418,0.6985094967794946,0.6808044478094989,0.21936730792995268,0.12196828198247323
1995,6,1995.46,0.0005990341777390995,0.004540675536083394,0.06899948113252162,0.3153303152220951,0.674217880930496,0.657803571425956,0.22448850703963522,0.11930603797330303
1996,6,1996.46,0.003251479712647054,0.004916371308862799,0.0008471385779574292,0.40536334151812087,0.661913230912166,0.6486823065993771,0.22906898439529452,0.12191142488841156
1997,6,1997.46,0.0051333851939272535,0.018370564303303638,0.07714559432874334,0.3937429785479611,0.7824518807841173,0.636273566590967,0.24335564730128947,0.14446096837456082
1998,6,1998.46,1.169148741631302,0.0,0.0,0.30510949723908315,0.6785444482811729,0.6302998843158664,0.24200645782790808,0.1465844680044805
1999,6,1999.46,0.006931205359993697,0.020148572866887204,0.053688208710915834,0.10383693911513947,0.7924560073326213,0.6087281074235807,0.24160442227721546,0.12404240494867935
2000,6,2000.46,0.013750697103209752,0.03864229433021066,0.1877116686211164,0.2545033164979915,0.8350936357600744,0.6077509245436956,0.26169844127030806,0.160070609490368
2001,6,2001.46,0.6979511889920955,0.009548323846799878,0.007706608705227519,0.17341763259738485,0.6610492679120831,0.6082463332954772,0.2721399076806067,0.1468502918029143
2002,6,2002.46,0.016053064755410684,0.027103397209910507,0.08562085872289792,0.0973946811218095,0.6649365954116067,0.5921304283708386,0.28794461241135294,0.15617266888359732
2003,6,2003.46,0.0318422164284482,0.04174715402476759,0.13981824130510567,0.16921680970660402,0.6000559575768649,0.577652254635848,0.2761496804525898,0.16168782966490824
2004,6,2004.46,0.005229751555784645,0.00044249047598197977,0.0004556483684426821,0.16962226877164763,0.7838678412632967,0.5669807144637315,0.2949562906306929,0.14471114632111035
2005,6,2005.46,1.0509344519079262,6.938893903907228e-18,0.06885252829857456,0.13769069225579741,0.9672674183929559,0.5651309254835458,0.3207817597896366,0.17858528824307968
2006,6,2006.46,0.27369719299623246,-6.938893903907228e-18,-6.938893903907228e-18,-1.3877787807814457e-17,0.9203029924671035,0.5617410186874848,0.3336583837227784,0.22749880817274243
2007,6,2007.46,0.014559009610744383,0.014058950715832056,0.03312221462273477,0.030576899250950803,0.859079950402346,0.548464574220522,0.32688739645367865,0.22446364845988817
