# McCulloch et al (2007) emissions,,,,
# UNITS: Gg/yr,,,,
Year,box_0,box_1,box_2,box_3
1930,0,0,0,0
1931,0,0,0,0
1932,0,0,0,0
1933,0,0,0,0
1934,0.074994,0.006351,0.003132,0.002523
1935,0.078442,0.006643,0.003276,0.002639
1936,0.10344,0.00876,0.00432,0.00348
1937,0.130162,0.011023,0.005436,0.004379
1938,0.18102,0.01533,0.00756,0.00609
1939,0.23274,0.01971,0.00972,0.00783
1940,0.334456,0.028324,0.013968,0.011252
1941,0.460308,0.038982,0.019224,0.015486
1942,0.637018,0.053947,0.026604,0.021431
1943,0.84476,0.07154,0.03528,0.02842
1944,1.080948,0.091542,0.045144,0.036366
1945,2.835118,0.240097,0.118404,0.095381
1946,4.6979,0.39785,0.1962,0.15805
1947,5.048734,0.427561,0.210852,0.169853
1948,5.38319,0.455885,0.22482,0.181105
1949,5.652134,0.478661,0.236052,0.190153
1950,5.965902,0.505233,0.249156,0.200709
1951,6.155542,0.521293,0.257076,0.207089
1952,6.315012,0.534798,0.263736,0.212454
1953,6.436554,0.545091,0.268812,0.216543
1954,6.433106,0.544799,0.268668,0.216427
1955,6.392592,0.541368,0.266976,0.215064
1956,6.31415,0.534725,0.2637,0.212425
1957,6.265878,0.530637,0.261684,0.210801
1958,6.237432,0.528228,0.260496,0.209844
1959,6.195194,0.524651,0.258732,0.208423
1960,6.242604,0.528666,0.260712,0.210018
1961,6.325356,0.535674,0.264168,0.212802
1962,6.496894,0.550201,0.271332,0.218573
1963,6.622746,0.560859,0.276588,0.222807
1964,6.718428,0.568962,0.280584,0.226026
1965,6.971856,0.590424,0.291168,0.234552
1966,7.26666,0.61539,0.30348,0.24447
1967,7.560602,0.640283,0.315756,0.254359
1968,7.856268,0.665322,0.328104,0.264306
1969,8.191586,0.693719,0.342108,0.275587
1970,8.488114,0.718831,0.354492,0.285563
1971,8.785504,0.744016,0.366912,0.295568
1972,9.16306,0.77599,0.38268,0.30827
1973,9.540616,0.807964,0.398448,0.320972
1974,9.880244,0.836726,0.412632,0.332398
1975,10.260386,0.868919,0.428508,0.345187
1976,10.681042,0.904543,0.446076,0.359339
1977,11.10256,0.94024,0.46368,0.37352
1978,11.525802,0.976083,0.481356,0.387759
1979,11.949044,1.011926,0.499032,0.401998
1980,12.411938,1.051127,0.518364,0.417571
1981,12.172635,1.110486,0.526769,0.42711
1982,11.555375,1.1487,0.533325,0.4376
1983,11.880399,1.211998,0.549627,0.450976
1984,12.684803,1.342387,0.588237,0.467573
1985,13.637352,1.421904,0.630162,0.468582
1986,14.93087,1.708955,0.755538,0.593637
1987,15.0216,1.784384,0.801152,0.600864
1988,13.40598,1.52562,0.74658,0.55182
1989,11.846835,1.4465,0.69432,0.477345
1990,8.407035,1.0265,0.49272,0.338745
1991,5.199012,0.6348,0.304704,0.209484
1992,4.231773,0.5167,0.248016,0.170511
1993,3.733002,0.4558,0.218784,0.150414
1994,3.296475,0.4025,0.1932,0.132825
1995,2.534805,0.3095,0.14856,0.102135
1996,1.971333,0.2407,0.115536,0.079431
