# Global annual emissions for CFC-114 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2022-06-03 22:24:38.871394+00:00 
# Units: Gg/yr 
Year,Month,Decimal_date,Global_annual_emissions,Global_annual_emissions_1-sigma
1978,6,1978.46,15.30378149117695,1.0784939076681994
1979,6,1979.46,17.06352037155217,1.0457192942099083
1980,6,1980.46,17.137700620905658,1.06265233691148
1981,6,1981.46,17.243388252918955,1.0497837448837732
1982,6,1982.46,15.991427550730691,1.0055125533648632
1983,6,1983.46,16.430397437757552,1.0996376029823478
1984,6,1984.46,17.530970685237687,1.0605312058553664
1985,6,1985.46,20.241472357723413,1.0916813957164508
1986,6,1986.46,23.250622267763358,1.1653177069104987
1987,6,1987.46,22.981373603360392,1.1732973113690846
1988,6,1988.46,20.055954230172063,1.080446914854701
1989,6,1989.46,18.55985690874218,1.0752891427685929
1990,6,1990.46,14.692077725190702,0.9984917962473845
1991,6,1991.46,9.759519110592734,0.9726199673637351
1992,6,1992.46,8.271391809084365,0.9141716060495543
1993,6,1993.46,7.8491256824648055,0.8917945043601322
1994,6,1994.46,6.806482632582316,0.9099753917554743
1995,6,1995.46,5.35454550731848,0.8926821726747407
1996,6,1996.46,4.1829108078716954,0.8884684018455106
1997,6,1997.46,3.8221178623837755,0.8908630491714987
1998,6,1998.46,3.6602436418175137,0.8736460178491056
1999,6,1999.46,3.303118720343227,0.9080001190161113
2000,6,2000.46,2.855209586404372,0.9210343516485202
2001,6,2001.46,2.7749599795660402,0.8642450317543613
2002,6,2002.46,2.7662582014092307,0.9061516480331879
2003,6,2003.46,2.4859191828073084,0.8964053022023892
2004,6,2004.46,1.826139965786276,0.8673551108208135
2005,6,2005.46,1.8142336426313894,0.8649296253777486
2006,6,2006.46,1.9980733656995786,0.8323168227976927
2007,6,2007.46,1.8080423201258722,0.8181225149881841
2008,6,2008.46,1.375622979552949,0.7396627675120165
2009,6,2009.46,2.053549562965287,0.6026720121064372
2010,6,2010.46,1.5446153834173841,0.6266368597343805
2011,6,2011.46,1.6574910672841794,0.594911696479222
2012,6,2012.46,2.0053266642483725,0.591832001360278
2013,6,2013.46,1.904972401747686,0.6037178802905081
2014,6,2014.46,1.9924705117153794,0.6496453621557142
2015,6,2015.46,2.0447198966798465,0.664896265321085
2016,6,2016.46,1.9764610208260338,0.597689184540289
2017,6,2017.46,2.5486888699320724,0.5965864811372492
2018,6,2018.46,3.068309608342043,0.6065260409089468
2019,6,2019.46,3.074748444083855,0.6059584393787739
2020,6,2020.46,1.6352395970911922,0.6918684841156545
