# Global annual emissions with no systematic uncertainty for CFC-114 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2022-03-22 21:16:51.998599+00:00 
# Units: Gg/yr 
Year,Month,Decimal_date,Global_annual_emissions_with_no_systematic_uncertainty,Global_annual_emissions_with_no_systematic_uncertainty_1-sigma
1978,6,1978.46,14.846516662920264,0.2849222128185238
1979,6,1979.46,16.32901975069498,0.26319892303499565
1980,6,1980.46,17.55455704426006,0.25789653781890925
1981,6,1981.46,17.850064716137123,0.2637234107333427
1982,6,1982.46,17.56895258544562,0.2557486382731882
1983,6,1983.46,18.3357890973069,0.27191416398516416
1984,6,1984.46,19.70937291333425,0.2563542084403591
1985,6,1985.46,21.045828845595675,0.25194069924616164
1986,6,1986.46,22.973132029984196,0.25545856042573367
1987,6,1987.46,22.653186550046936,0.25238614955219274
1988,6,1988.46,19.96555245461848,0.2484994137726579
1989,6,1989.46,17.857074657694053,0.2371265511328098
1990,6,1990.46,13.37874016187092,0.23399838306426196
1991,6,1991.46,9.169309760318297,0.23448003383274368
1992,6,1992.46,7.740390600368147,0.2393523392244162
1993,6,1993.46,7.188771120117738,0.23461407145508129
1994,6,1994.46,6.299973419984771,0.23512134179266583
1995,6,1995.46,4.869762643318128,0.24371614335431432
1996,6,1996.46,3.7361743972609696,0.22654671820018124
1997,6,1997.46,3.323799326182583,0.23275307277277435
1998,6,1998.46,3.4560163848819734,0.24473808130513647
1999,6,1999.46,3.178702218387119,0.23837701906040296
2000,6,2000.46,2.766261207484018,0.22925393906743086
2001,6,2001.46,2.7002286196254666,0.22606395034237012
2002,6,2002.46,2.6061486858002625,0.23220270158230677
2003,6,2003.46,2.466166987957085,0.222549763861472
2004,6,2004.46,2.167665393860304,0.2106589949463525
2005,6,2005.46,2.0171480674985616,0.2039629546605197
2006,6,2006.46,2.0166787636137222,0.203370124127311
2007,6,2007.46,2.0353729610555154,0.20008715207119965
2008,6,2008.46,1.9792619184553013,0.18944708864967139
2009,6,2009.46,1.9123014739961828,0.16274514971837317
2010,6,2010.46,1.6922150837051888,0.15752445246536306
2011,6,2011.46,1.7165098142747859,0.14395351110841098
2012,6,2012.46,1.8284627566655758,0.15243082433039581
2013,6,2013.46,1.9101794207005873,0.15464682620257575
2014,6,2014.46,1.9998083672966522,0.15960784502000827
2015,6,2015.46,2.0574443433608574,0.1620352544712566
2016,6,2016.46,2.204616321234255,0.15380011953041126
2017,6,2017.46,2.563753919284441,0.14745841619077626
2018,6,2018.46,2.8806469376705377,0.15691836752351768
2019,6,2019.46,2.798644757339759,0.16850164319765246
2020,6,2020.46,2.368694289902946,0.258774536799354
