# Global annual mole fraction for CFC-114 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2022-03-22 21:16:51.962021+00:00 
# Units: ppt 
Year,Month,Decimal_date,Global_annual_mole_fraction,Global_annual_mole_fraction_1-sigma
1978,6,1978.46,8.787936684215454,0.2610775301427732
1979,6,1979.46,9.286116837543153,0.27610894196906255
1980,6,1980.46,9.827788792063268,0.29187423300225956
1981,6,1981.46,10.388126300121076,0.3080069926898081
1982,6,1982.46,10.938782799233744,0.3234912485831562
1983,6,1983.46,11.493589836135731,0.3388911041709239
1984,6,1984.46,12.085991443928341,0.35578908080370075
1985,6,1985.46,12.724798993040286,0.37436741277387664
1986,6,1986.46,13.41986689590462,0.3947573007989771
1987,6,1987.46,14.133168396568507,0.41562248149287745
1988,6,1988.46,14.773844901668966,0.434145026649432
1989,6,1989.46,15.31640164287734,0.44965554642740097
1990,6,1990.46,15.729096537010577,0.4614020183934498
1991,6,1991.46,15.979148741053068,0.46840170943495907
1992,6,1992.46,16.136831864432637,0.4725260683463483
1993,6,1993.46,16.272908143912133,0.47621125859787855
1994,6,1994.46,16.391823893623876,0.47988727791701125
1995,6,1995.46,16.472359681218496,0.48257167342325114
1996,6,1996.46,16.509881334920895,0.48396145400253127
1997,6,1997.46,16.525195558582823,0.48443630615972255
1998,6,1998.46,16.541980611929535,0.4847705132486898
1999,6,1999.46,16.559432479541428,0.48519135197491053
2000,6,2000.46,16.56542674127932,0.4851900109736329
2001,6,2001.46,16.564560362630544,0.4851116234344184
2002,6,2002.46,16.5624570855018,0.4849841326366757
2003,6,2003.46,16.55696750456284,0.484535286932185
2004,6,2004.46,16.54366349934315,0.4840733232845603
2005,6,2005.46,16.52279001500887,0.48344109556030096
2006,6,2006.46,16.500461676740667,0.4830466544455879
2007,6,2007.46,16.47954713706874,0.4828009269223039
2008,6,2008.46,16.458430042676646,0.4822849036334375
2009,6,2009.46,16.435326614104927,0.4815273918224449
2010,6,2010.46,16.406809106100905,0.48054557675922527
2011,6,2011.46,16.375353932116038,0.4795150442785478
2012,6,2012.46,16.34747347238437,0.478714500823333
2013,6,2013.46,16.323716197459785,0.4781812864298036
2014,6,2014.46,16.303361387813432,0.4776739149721402
2015,6,2015.46,16.2856990030499,0.4772965238074954
2016,6,2016.46,16.271953044073012,0.4769667212997862
2017,6,2017.46,16.268097260789055,0.47666591431304023
2018,6,2018.46,16.2767264766042,0.4767209828455772
2019,6,2019.46,16.288136059350705,0.47692393035059283
2020,6,2020.46,16.287834092699537,0.4771981997719801
