# Semihemispheric annual emissions with no systematic uncertainty for CFC-114 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2022-03-22 21:16:52.008298+00:00 
# Units: Gg/yr 
Year,Month,Decimal_date,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_box0,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_box1,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_box2,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_box3,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_1-sigma_box0,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_1-sigma_box1,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_1-sigma_box2,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_1-sigma_box3
1978,6,1978.46,8.903954301011847,3.02424211331853,1.7803953886198702,1.1379248599700165,1.2080412262295934,1.623450033541313,1.9385551635504208,1.2116570622841296
1979,6,1979.46,10.0675664808948,3.12898865948733,1.8821069921493427,1.2503576181635003,1.1934211815125106,1.6214757796043326,1.9348261655634456,1.214733483373832
1980,6,1980.46,11.060851279056488,3.195979249501415,1.9583870416870053,1.3393394740151547,1.188215952474259,1.6222616739395677,1.9309368769254986,1.215287539557412
1981,6,1981.46,11.231191215172997,3.234629056748304,1.9910126301694753,1.3932318140463436,1.192595465701524,1.6158800972202032,1.9293169362889824,1.2154076011497648
1982,6,1982.46,10.914701621812457,3.228464213473044,2.0069995310279443,1.4187872191321687,1.1872436759404226,1.6169455578356018,1.925911250332573,1.2179562999001976
1983,6,1983.46,11.594048984704015,3.2636919609497093,2.0320010389219223,1.4460471127312589,1.1761735860147597,1.6162067705607117,1.9267797563440536,1.2163264788473391
1984,6,1984.46,12.76776350986239,3.3836243306543285,2.0809168768998068,1.4770681959177272,1.171140739056228,1.6122688492685382,1.925796341370762,1.2171505841988348
1985,6,1985.46,13.974102480051917,3.440933910822601,2.139475895957376,1.4913165587637842,1.1810807968230936,1.6125219949670127,1.9252258165271352,1.218376902464206
1986,6,1986.46,15.336540711276085,3.696754714659162,2.2941675100586716,1.6456690939902858,1.1640799279470753,1.6089379740576435,1.923124455185339,1.2175708008154251
1987,6,1987.46,14.912537230086256,3.6972263220926105,2.3539452137851917,1.6894777840828763,1.1573791300531133,1.604077557425537,1.9224177152888282,1.2148962693543828
