# Global annual mole fraction Jan for CFC-115 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2022-06-27 18:47:57.638630+00:00 
# Units: ppt 
Year,Month,Decimal_date,Global_annual_mole_fraction_Jan,Global_annual_mole_fraction_Jan_1-sigma
1978,12,1978.96,1.342512245633113,0.11157681143788771
1979,12,1979.96,1.5708739527470064,0.11436498051164844
1980,12,1980.96,1.8256623440651738,0.11430732114179379
1981,12,1981.96,2.1006056944354485,0.1144968244627483
1982,12,1982.96,2.4006175232553377,0.11629454370394934
1983,12,1983.96,2.7289257501233757,0.11952582329882962
1984,12,1984.96,3.081452316519419,0.12585045773720258
1985,12,1985.96,3.4669438662385894,0.13291569263898714
1986,12,1986.96,3.886504482366663,0.14285903317803988
1987,12,1987.96,4.327513152100576,0.1536019718349578
1988,12,1988.96,4.775776963200524,0.16271160996354952
1989,12,1989.96,5.219259127904109,0.1734228124803615
1990,12,1990.96,5.6496379609183975,0.18536536911571982
1991,12,1991.96,6.064917332648971,0.19729271116708558
1992,12,1992.96,6.466254576776909,0.20768437826472258
1993,12,1993.96,6.85925877481289,0.2173487719690194
1994,12,1994.96,7.201299764061518,0.22539086603093722
1995,12,1995.96,7.472385692580549,0.23138199935354328
1996,12,1996.96,7.686819511658186,0.23598686984532138
1997,12,1997.96,7.852777757480009,0.23970237821000948
1998,12,1998.96,7.977940657473822,0.2419665097296629
1999,12,1999.96,8.07218765720126,0.24438335291483906
2000,12,2000.96,8.148036595676658,0.24745106183036455
2001,12,2001.96,8.21807559566889,0.24919696018456935
2002,12,2002.96,8.281348026691589,0.250101220580004
2003,12,2003.96,8.327012388808528,0.2508663335461518
2004,12,2004.96,8.343861058908702,0.25073289375351876
2005,12,2005.96,8.344562516221686,0.25000511459228747
2006,12,2006.96,8.345322162018983,0.24950994038489635
2007,12,2007.96,8.354892101871547,0.24920648055143102
2008,12,2008.96,8.368947239717086,0.24959855509879755
2009,12,2009.96,8.381256347568444,0.2495908352620658
2010,12,2010.96,8.385407126852149,0.24989032906850803
2011,12,2011.96,8.396303433511314,0.2506341004355561
2012,12,2012.96,8.41347209614717,0.2507531419058153
2013,12,2013.96,8.426299482705708,0.25073387068993186
2014,12,2014.96,8.44813610965314,0.2515326839845151
2015,12,2015.96,8.482526157323246,0.25244838139425557
2016,12,2016.96,8.522082307367297,0.2536101843144726
2017,12,2017.96,8.571759042892355,0.25559187815102696
2018,12,2018.96,8.628352926055666,0.25658500041047166
2019,12,2019.96,8.686637611450907,0.2581374767525497
