# Semihemispheric annual emissions for CFC-115 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2022-03-22 21:23:56.644839+00:00 
# Units: Gg/yr 
Year,Month,Decimal_date,Semihemispheric_annual_emissions_box0,Semihemispheric_annual_emissions_box1,Semihemispheric_annual_emissions_box2,Semihemispheric_annual_emissions_box3,Semihemispheric_annual_emissions_1-sigma_box0,Semihemispheric_annual_emissions_1-sigma_box1,Semihemispheric_annual_emissions_1-sigma_box2,Semihemispheric_annual_emissions_1-sigma_box3
1978,6,1978.46,3.049367944113785,0.9409692788952279,0.6591618589465164,0.49175613476048147,2.208801758648482,2.1878075820338454,1.910505902194098,1.2825676196612967
1979,6,1979.46,3.7520141339449347,1.0246727912722755,0.8004394149948127,0.6429317359760536,2.1757115810001837,2.169661857670588,1.9084255019771468,1.2723132138784512
1980,6,1980.46,3.933160281693447,1.065084948216656,0.9243101446242025,0.7827329066849195,2.1606922993782276,2.153880512363841,1.8890194994768768,1.285456360838127
1981,6,1981.46,3.958954455728142,1.1234355018717481,1.01579140226023,0.8753003994806451,2.091587538466229,2.1320350757248256,1.8834276972647075,1.288365949205291
1982,6,1982.46,4.252957344583436,1.1953394381394589,1.0883087481762053,0.921336074355363,2.0961477009764313,2.117244013230131,1.8770097469699853,1.2882246022580965
1983,6,1983.46,4.828984627420765,1.3770192182557437,1.1446747234088974,0.9787168846475501,2.0870477528960376,2.102085141912272,1.873597725087204,1.281323126526272
1984,6,1984.46,5.427695789561064,1.6268877342909709,1.226142822082538,1.0321119132452863,2.0469718457073838,2.0769589795090324,1.876002879562167,1.2736549121687915
1985,6,1985.46,5.755607331082232,1.7810632054485953,1.3013638856665184,1.121506178358086,2.012914822517789,2.061055199393038,1.8635154595217762,1.2674535606153436
1986,6,1986.46,6.017161285452872,1.9795455512114304,1.4918384099459276,1.2887979242504723,1.9871390672642537,2.0357542108527307,1.8528954071414905,1.264580095906566
1987,6,1987.46,6.514315518762031,2.1002205050881564,1.654093734406189,1.4002961167615398,1.9400739326019825,2.0264027695509714,1.8573899619053014,1.2616732952715026
1988,6,1988.46,6.968879755458558,2.1117832283196516,1.7669814079536472,1.509366071978272,1.9495705444197065,1.998706984070742,1.8524702266011892,1.2553067601723231
1989,6,1989.46,7.043517284384593,2.1635348988270917,1.801784647532685,1.53890712770275,1.9411265187763596,1.9564678639671556,1.8413453193063847,1.2503613160551648
1990,6,1990.46,6.872762527875536,2.103019541951721,1.751888012076588,1.5433307475669416,1.8747486804390363,1.941372763263897,1.8414146422998845,1.2431603017040584
1991,6,1991.46,5.537828889718221,1.8452005204361608,1.6008578072527404,1.5126911335983253,1.8405048074740262,1.9161366434649871,1.8370330182207475,1.2435720851398635
1992,6,1992.46,6.151566836596262,1.5788426159042974,1.2541578293519076,1.2036862303381137,1.8182532847972634,1.8864009353424442,1.817438634522768,1.2332487841513589
1993,6,1993.46,8.271820190004421,1.6852276533119872,1.4412026341910307,1.1401771579618374,1.7641318084954374,1.856508853151393,1.8123128168244644,1.2320254357371063
1994,6,1994.46,6.8647544960962685,1.5175255298161014,1.4419255640726425,1.2658117509858349,1.7262365900176475,1.8283299169733687,1.796032143126459,1.2323313303329182
1995,6,1995.46,4.704311394714592,1.1735567864050844,1.2253393428120634,1.1520049821101928,1.7319609114345862,1.802147051287373,1.7951368787187092,1.237510063229985
1996,6,1996.46,4.04425745418228,0.9900008642417059,0.9320497609297255,0.8970353135769641,1.6932449188932712,1.7848610828294533,1.7939571729077808,1.211098657175095
1997,6,1997.46,3.259954072149966,0.8694300276522834,0.7808354097258189,0.7579048042795319,1.644663720927631,1.775901883856516,1.7911900788952528,1.1986148126018044
1998,6,1998.46,2.750575868093611,0.6609123113847131,0.6378534307840846,0.6341427250844981,1.6221044841923704,1.7534059880380966,1.7930399472062954,1.1940898194797787
1999,6,1999.46,1.874791663125411,0.4658528555847266,0.5305268500210595,0.5409114668096296,1.569306137959684,1.7427745713619691,1.783375339605137,1.1942882439201181
2000,6,2000.46,1.405996902982624,0.403238064593503,0.4539047168797146,0.45218995760359265,1.5394758535148219,1.7005917134434267,1.7867465498849096,1.189014037958532
2001,6,2001.46,1.1698672960452294,0.4113645097811424,0.4081174387754753,0.40692557417858666,1.5037072525043305,1.6850494290848486,1.7895391601389785,1.1800461523457815
2002,6,2002.46,1.0501117350867142,0.41118891603302404,0.3804698856097297,0.40210062569239374,1.4440356346810606,1.663917510114891,1.781878209741416,1.1769599616581452
2003,6,2003.46,0.8101927722832082,0.3727071899241099,0.3753038520465008,0.4058689404940771,1.3588978610912683,1.6337780126372565,1.7805691989184536,1.1763772702627442
2004,6,2004.46,0.15163448094104187,0.2589815740598739,0.313119780740184,0.3856094711461538,1.3282267343380993,1.6066341337583652,1.7721127126365797,1.1719344717352753
2005,6,2005.46,-8.326672684688674e-17,0.16734611058404034,0.20362530197160214,0.2641156205253324,1.2891065141261409,1.593427829314872,1.7787502787013867,1.1712846486970556
