# Semihemispheric mole fractions for CFC-115 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2022-03-22 21:23:56.569964+00:00 
# Units: ppt 
Year,Month,Decimal_date,Semihemispheric_mole_fractions_box0,Semihemispheric_mole_fractions_box1,Semihemispheric_mole_fractions_box2,Semihemispheric_mole_fractions_box3,Semihemispheric_mole_fractions_1-sigma_box0,Semihemispheric_mole_fractions_1-sigma_box1,Semihemispheric_mole_fractions_1-sigma_box2,Semihemispheric_mole_fractions_1-sigma_box3
1978,1,1978.0,,,,,,,,
1978,2,1978.08,,,,,,,,
1978,3,1978.17,,,,,,,,
1978,4,1978.25,,,,1.0847,,,,0.020647518010647188
1978,5,1978.33,,,,,,,,
1978,6,1978.42,,,,,,,,
1978,7,1978.5,,,,1.1337,,,,0.018667619023324845
1978,8,1978.58,,,,1.1928,,,,0.018101933598375617
1978,9,1978.67,,,,,,,,
1978,10,1978.75,,,,,,,,
1978,11,1978.83,,,,,,,,
1978,12,1978.92,,,,,,,,
1979,1,1979.0,,,,,,,,
1979,2,1979.08,,,,1.2586,,,,0.00848528137423857
1979,3,1979.17,,,,,,,,
1979,4,1979.25,,,,,,,,
1979,5,1979.33,,,,,,,,
1979,6,1979.42,,,,,,,,
1979,7,1979.5,,,,,,,,
1979,8,1979.58,,,,,,,,
1979,9,1979.67,,,,,,,,
1979,10,1979.75,,,,,,,,
1979,11,1979.83,,,,,,,,
1979,12,1979.92,,,,,,,,
1980,1,1980.0,,,,,,,,
1980,2,1980.08,,,,,,,,
1980,3,1980.17,,,,,,,,
1980,4,1980.25,,,,,,,,
1980,5,1980.33,,,,,,,,
1980,6,1980.42,,,,,,,,
1980,7,1980.5,,,,,,,,
1980,8,1980.58,,,,,,,,
1980,9,1980.67,,,,,,,,
1980,10,1980.75,,,,,,,,
1980,11,1980.83,,,,,,,,
1980,12,1980.92,,,,,,,,
1981,1,1981.0,,,,,,,,
1981,2,1981.08,,,,,,,,
1981,3,1981.17,,,,,,,,
1981,4,1981.25,,,,,,,,
1981,5,1981.33,,,,1.8185,,,,0.02588010819142764
1981,6,1981.42,,,,,,,,
1981,7,1981.5,,,,,,,,
1981,8,1981.58,,,,,,,,
1981,9,1981.67,,,,,,,,
1981,10,1981.75,,,,,,,,
1981,11,1981.83,,,,,,,,
1981,12,1981.92,,,,,,,,
1982,1,1982.0,,,,,,,,
1982,2,1982.08,,,,,,,,
1982,3,1982.17,,,,,,,,
1982,4,1982.25,,,,,,,,
1982,5,1982.33,,,,,,,,
1982,6,1982.42,,,,,,,,
1982,7,1982.5,,,,,,,,
1982,8,1982.58,,,,,,,,
1982,9,1982.67,,,,,,,,
1982,10,1982.75,,,,,,,,
1982,11,1982.83,,,,,,,,
1982,12,1982.92,,,,,,,,
1983,1,1983.0,,,,,,,,
1983,2,1983.08,,,,,,,,
1983,3,1983.17,,,,,,,,
1983,4,1983.25,,,,,,,,
1983,5,1983.33,,,,,,,,
1983,6,1983.42,,,,,,,,
1983,7,1983.5,,,,,,,,
1983,8,1983.58,,,,,,,,
1983,9,1983.67,,,,,,,,
1983,10,1983.75,,,,,,,,
1983,11,1983.83,,,,,,,,
1983,12,1983.92,,,,,,,,
1984,1,1984.0,,,,2.5512,,,,0.01103086578651014
1984,2,1984.08,,,,,,,,
1984,3,1984.17,,,,,,,,
1984,4,1984.25,,,,,,,,
1984,5,1984.33,,,,2.6772,,,,0.03988082245892128
1984,6,1984.42,,,,,,,,
1984,7,1984.5,,,,,,,,
1984,8,1984.58,,,,,,,,
1984,9,1984.67,,,,,,,,
1984,10,1984.75,,,,,,,,
1984,11,1984.83,,,,,,,,
1984,12,1984.92,,,,,,,,
1985,1,1985.0,,,,,,,,
1985,2,1985.08,,,,,,,,
1985,3,1985.17,,,,,,,,
1985,4,1985.25,,,,,,,,
1985,5,1985.33,,,,,,,,
1985,6,1985.42,,,,,,,,
1985,7,1985.5,,,,,,,,
1985,8,1985.58,,,,,,,,
1985,9,1985.67,,,,,,,,
1985,10,1985.75,,,,,,,,
1985,11,1985.83,,,,,,,,
1985,12,1985.92,,,,,,,,
1986,1,1986.0,,,,,,,,
1986,2,1986.08,,,,3.2460000000000004,,,,0.03224406922210657
1986,3,1986.17,,,,,,,,
1986,4,1986.25,,,,,,,,
1986,5,1986.33,,,,,,,,
1986,6,1986.42,,,,,,,,
1986,7,1986.5,,,,,,,,
1986,8,1986.58,,,,,,,,
1986,9,1986.67,,,,,,,,
1986,10,1986.75,,,,,,,,
1986,11,1986.83,,,,3.5559,,,,0.02955706345359768
1986,12,1986.92,,,,,,,,
1987,1,1987.0,,,,,,,,
1987,2,1987.08,,,,,,,,
1987,3,1987.17,,,,,,,,
1987,4,1987.25,,,,,,,,
1987,5,1987.33,,,,3.7999,,,,0.02474873734152917
1987,6,1987.42,,,,,,,,
1987,7,1987.5,,,,,,,,
1987,8,1987.58,,,,,,,,
1987,9,1987.67,,,,,,,,
1987,10,1987.75,,,,,,,,
1987,11,1987.83,,,,,,,,
1987,12,1987.92,,,,,,,,
1988,1,1988.0,,,,,,,,
1988,2,1988.08,,,,,,,,
1988,3,1988.17,,,,,,,,
1988,4,1988.25,,,,,,,,
1988,5,1988.33,,,,,,,,
1988,6,1988.42,,,,4.1977,,,,0.029062088706767106
1988,7,1988.5,,,,,,,,
1988,8,1988.58,,,,,,,,
1988,9,1988.67,,,,,,,,
1988,10,1988.75,,,,,,,,
1988,11,1988.83,,,,,,,,
1988,12,1988.92,,,,,,,,
1989,1,1989.0,,,,,,,,
1989,2,1989.08,,,,,,,,
1989,3,1989.17,,,,,,,,
1989,4,1989.25,,,,4.6566,,,,0.02432447327281724
1989,5,1989.33,,,,,,,,
1989,6,1989.42,,,,,,,,
1989,7,1989.5,,,,,,,,
1989,8,1989.58,,,,,,,,
1989,9,1989.67,,,,,,,,
1989,10,1989.75,,,,,,,,
1989,11,1989.83,,,,4.8136,,,,0.05557859300126264
1989,12,1989.92,,,,,,,,
1990,1,1990.0,,,,,,,,
1990,2,1990.08,,,,5.0295,,,,0.05260874452027913
