# AGAGE data for H-1211
# Created by chxmr on 2021-08-18 18:26:07.542496
# Contact AGAGE data owners before use 
# This file contains data from the following sites/instruments: 
#===================================================
# MHD 
#   1. Medusa
#   2. ADS
#  Instruments averaged
#------------------
# THD 
#   1. Medusa
#   4. Archive
#  Instruments averaged
#------------------
# RPB 
#   1. Medusa
#------------------
# SMO 
#   1. Medusa
#------------------
# CGO 
#   1. Medusa
#   2. ADS
#   4. Archive
#  Instruments averaged
#------------------
# SCALE: SIO-05
# UNITS: ppt
var,mf,mf,mf,mf,mf_variability,mf_variability,mf_variability,mf_variability,sites,sites,sites,sites,instruments,instruments,instruments,instruments
box,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3
1973-06-01,0.14843333333333333,,,,0.015428135988598164,,,,THD,,,,||Archive,,,
1973-07-01,,,,,,,,,,,,,||,,,
1973-08-01,,,,,,,,,,,,,||,,,
1973-09-01,,,,,,,,,,,,,||,,,
1973-10-01,0.031,,,,0.028284585358283054,,,,THD,,,,||Archive,,,
1973-11-01,,,,,,,,,,,,,||,,,
1973-12-01,,,,,,,,,,,,,||,,,
1974-01-01,,,,,,,,,,,,,||,,,
1974-02-01,,,,,,,,,,,,,||,,,
1974-03-01,,,,,,,,,,,,,||,,,
1974-04-01,0.0965,,,,0.014148221920174281,,,,THD,,,,||Archive,,,
1974-05-01,,,,,,,,,,,,,||,,,
1974-06-01,0.205625,,,,0.010449622004415099,,,,THD,,,,||Archive,,,
1974-07-01,,,,,,,,,,,,,||,,,
1974-08-01,,,,,,,,,,,,,||,,,
1974-09-01,,,,,,,,,,,,,||,,,
1974-10-01,,,,,,,,,,,,,||,,,
1974-11-01,,,,,,,,,,,,,||,,,
1974-12-01,,,,,,,,,,,,,||,,,
1975-01-01,,,,,,,,,,,,,||,,,
1975-02-01,,,,,,,,,,,,,||,,,
1975-03-01,,,,,,,,,,,,,||,,,
1975-04-01,,,,,,,,,,,,,||,,,
1975-05-01,,,,,,,,,,,,,||,,,
1975-06-01,0.246,,,,0.03763295020112029,,,,THD,,,,||Archive,,,
1975-07-01,,,,,,,,,,,,,||,,,
1975-08-01,,,,,,,,,,,,,||,,,
1975-09-01,,,,,,,,,,,,,||,,,
1975-10-01,0.23386666666666667,,,,0.00835744222524252,,,,THD,,,,||Archive,,,
1975-11-01,,,,,,,,,,,,,||,,,
1975-12-01,,,,,,,,,,,,,||,,,
1976-01-01,0.2756,,,,0.015601423480131547,,,,THD,,,,||Archive,,,
1976-02-01,,,,,,,,,,,,,||,,,
1976-03-01,,,,,,,,,,,,,||,,,
1976-04-01,,,,,,,,,,,,,||,,,
1976-05-01,,,,,,,,,,,,,||,,,
1976-06-01,,,,,,,,,,,,,||,,,
1976-07-01,,,,,,,,,,,,,||,,,
1976-08-01,,,,,,,,,,,,,||,,,
1976-09-01,,,,,,,,,,,,,||,,,
1976-10-01,,,,,,,,,,,,,||,,,
1976-11-01,,,,,,,,,,,,,||,,,
1976-12-01,,,,,,,,,,,,,||,,,
1977-01-01,,,,,,,,,,,,,||,,,
1977-02-01,,,,,,,,,,,,,||,,,
1977-03-01,,,,,,,,,,,,,||,,,
1977-04-01,,,,,,,,,,,,,||,,,
1977-05-01,,,,,,,,,,,,,||,,,
1977-06-01,,,,,,,,,,,,,||,,,
1977-07-01,,,,,,,,,,,,,||,,,
1977-08-01,,,,,,,,,,,,,||,,,
1977-09-01,,,,,,,,,,,,,||,,,
1977-10-01,0.4433571428571429,,,,0.016374812888479185,,,,THD,,,,||Archive,,,
1977-11-01,,,,,,,,,,,,,||,,,
1977-12-01,,,,,,,,,,,,,||,,,
1978-01-01,,,,,,,,,,,,,||,,,
1978-02-01,,,,,,,,,,,,,||,,,
1978-03-01,,,,,,,,,,,,,||,,,
1978-04-01,,,,0.40065,,,,0.012563758299650028,,,,CGO,||,,,||Archive
1978-05-01,,,,,,,,,,,,,||,,,||
1978-06-01,,,,,,,,,,,,,||,,,||
1978-07-01,,,,0.43379999999999996,,,,0.0032710079968719125,,,,CGO,||,,,||Archive
1978-08-01,0.5764666666666666,,,0.5183,0.00647971486355174,,,0.00429965802315719,THD,,,CGO,||Archive,,,||Archive
1978-09-01,,,,,,,,,,,,,||,,,||
1978-10-01,,,,,,,,,,,,,||,,,||
1978-11-01,,,,,,,,,,,,,||,,,||
1978-12-01,,,,,,,,,,,,,||,,,||
1979-01-01,,,,,,,,,,,,,||,,,||
1979-02-01,,,,0.48035,,,,0.008939312664015337,,,,CGO,||,,,||Archive
1979-03-01,,,,,,,,,,,,,||,,,||
1979-04-01,,,,,,,,,,,,,||,,,||
1979-05-01,,,,,,,,,,,,,||,,,||
1979-06-01,,,,,,,,,,,,,||,,,||
1979-07-01,,,,,,,,,,,,,||,,,||
1979-08-01,,,,,,,,,,,,,||,,,||
1979-09-01,,,,,,,,,,,,,||,,,||
1979-10-01,,,,,,,,,,,,,||,,,||
1979-11-01,,,,,,,,,,,,,||,,,||
1979-12-01,,,,,,,,,,,,,||,,,||
1980-01-01,0.6913333333333332,,,,0.011697740955890205,,,,THD,,,,||Archive,,,||
1980-02-01,,,,,,,,,,,,,||,,,||
1980-03-01,,,,,,,,,,,,,||,,,||
1980-04-01,,,,,,,,,,,,,||,,,||
1980-05-01,0.798,,,,0.013455649592643233,,,,THD,,,,||Archive,,,||
1980-06-01,,,,,,,,,,,,,||,,,||
1980-07-01,,,,,,,,,,,,,||,,,||
1980-08-01,,,,,,,,,,,,,||,,,||
1980-09-01,,,,,,,,,,,,,||,,,||
1980-10-01,,,,,,,,,,,,,||,,,||
1980-11-01,,,,,,,,,,,,,||,,,||
1980-12-01,,,,,,,,,,,,,||,,,||
1981-01-01,,,,,,,,,,,,,||,,,||
1981-02-01,,,,,,,,,,,,,||,,,||
1981-03-01,,,,,,,,,,,,,||,,,||
1981-04-01,,,,,,,,,,,,,||,,,||
1981-05-01,,,,0.7542,,,,0.08053407625448745,,,,CGO,||,,,||Archive
1981-06-01,,,,,,,,,,,,,||,,,||
1981-07-01,,,,,,,,,,,,,||,,,||
1981-08-01,,,,,,,,,,,,,||,,,||
1981-09-01,,,,,,,,,,,,,||,,,||
1981-10-01,,,,,,,,,,,,,||,,,||
1981-11-01,,,,,,,,,,,,,||,,,||
1981-12-01,,,,,,,,,,,,,||,,,||
1982-01-01,,,,,,,,,,,,,||,,,||
1982-02-01,,,,,,,,,,,,,||,,,||
1982-03-01,,,,,,,,,,,,,||,,,||
1982-04-01,,,,,,,,,,,,,||,,,||
1982-05-01,,,,,,,,,,,,,||,,,||
1982-06-01,,,,,,,,,,,,,||,,,||
1982-07-01,,,,,,,,,,,,,||,,,||
1982-08-01,,,,,,,,,,,,,||,,,||
1982-09-01,,,,,,,,,,,,,||,,,||
1982-10-01,,,,,,,,,,,,,||,,,||
1982-11-01,,,,,,,,,,,,,||,,,||
1982-12-01,,,,,,,,,,,,,||,,,||
1983-01-01,,,,,,,,,,,,,||,,,||
1983-02-01,1.204,,,,0.019508546840808008,,,,THD,,,,||Archive,,,||
1983-03-01,,,,,,,,,,,,,||,,,||
1983-04-01,,,,,,,,,,,,,||,,,||
1983-05-01,,,,,,,,,,,,,||,,,||
1983-06-01,,,,,,,,,,,,,||,,,||
1983-07-01,,,,,,,,,,,,,||,,,||
1983-08-01,,,,,,,,,,,,,||,,,||
1983-09-01,1.313,,,,0.007992257929396422,,,,THD,,,,||Archive,,,||
1983-10-01,,,,,,,,,,,,,||,,,||
1983-11-01,,,,,,,,,,,,,||,,,||
