# Global annual emissions for H-1211 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2025-04-14 13:36:03.047798+00:00 
# Units: Gg/yr 
Year,Month,Decimal_date,Global_annual_emissions,Global_annual_emissions_1-sigma
1973,6,1973.46,-1.7127123518567522,1.1366502142364916
1974,6,1974.46,2.8406127645019468,0.8571384253853661
1975,6,1975.46,2.4350300271678726,0.7164335914976914
1976,6,1976.46,2.7304742837473754,1.313037821284059
1977,6,1977.46,5.138447418199852,0.9640194873825296
1978,6,1978.46,4.640073363177478,0.498840874982044
1979,6,1979.46,1.7440657575428489,0.5854868831119496
1980,6,1980.46,4.399582002649083,0.7979438625168432
1981,6,1981.46,3.6084944076091063,1.278418813752987
1982,6,1982.46,4.230568407291545,1.0090441870233702
1983,6,1983.46,6.3362416354231526,0.8077385134931496
1984,6,1984.46,4.520651435900481,1.2888468862878426
1985,6,1985.46,3.8730785200688995,1.2894844070156295
1986,6,1986.46,4.879762371519581,1.4181699311968148
1987,6,1987.46,6.838208348488435,1.2961573230045662
1988,6,1988.46,7.872662909099831,1.2826999205013225
1989,6,1989.46,6.899761331549844,0.9127328770707721
1990,6,1990.46,9.086385638581588,1.0047105484619774
1991,6,1991.46,8.369409812191503,1.3548695565514013
1992,6,1992.46,5.308486906739884,1.1720175670816622
1993,6,1993.46,8.588795276904479,1.3156512820231632
1994,6,1994.46,6.858336618540808,0.9973300177738711
1995,6,1995.46,6.8672593053514115,1.0576966511437305
1996,6,1996.46,6.632367348820904,1.0902509184612568
1997,6,1997.46,8.549722222698852,1.1300853764755512
1998,6,1998.46,7.9814416364496585,1.138801339576542
1999,6,1999.46,6.473324038869703,1.1490820469676082
2000,6,2000.46,7.024765744247475,1.175804991976125
2001,6,2001.46,4.776614619710018,1.218709063802766
2002,6,2002.46,4.454851444057191,1.1899409708507895
2003,6,2003.46,4.854543169899843,1.2138156349159446
2004,6,2004.46,4.344189744079486,1.2194645155525656
2005,6,2005.46,3.304538848221185,1.2122171865898845
2006,6,2006.46,3.1164327691223,1.1815056721179031
2007,6,2007.46,2.889646007139724,1.170410755388645
2008,6,2008.46,2.795079132415711,1.154763662197237
2009,6,2009.46,2.0948879334498622,1.1559957812319226
2010,6,2010.46,1.6781714071939209,1.121650750730058
2011,6,2011.46,1.7272489345586177,1.1007337708240135
2012,6,2012.46,0.9769096679286774,1.079478423013111
2013,6,2013.46,0.8365688727606649,1.0449260830736324
2014,6,2014.46,0.9432323000413745,1.0259444098132469
2015,6,2015.46,0.15425933956079643,0.9872818006004912
2016,6,2016.46,0.1979839937729521,0.9596467372551861
2017,6,2017.46,0.5456115617590893,0.9413212997351444
2018,6,2018.46,0.6768018640018608,0.9117012409046621
2019,6,2019.46,0.2649204333004191,0.8887274707915295
2020,6,2020.46,0.19983621944131028,0.8662826539580029
2021,6,2021.46,0.7285920252700334,0.8325381653689624
2022,6,2022.46,0.10423312973064595,0.8084327771455001
2023,6,2023.46,-0.007576512944736366,0.8055602895202043
