# Global annual emissions with no systematic uncertainty for H-1211 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2025-04-14 13:36:03.049819+00:00 
# Units: Gg/yr 
Year,Month,Decimal_date,Global_annual_emissions_with_no_systematic_uncertainty,Global_annual_emissions_with_no_systematic_uncertainty_1-sigma
1973,6,1973.46,-1.7127123518567522,1.1120775909089085
1974,6,1974.46,2.8406127645019468,0.8729691870710111
1975,6,1975.46,2.4350300271678726,0.7167322634181795
1976,6,1976.46,2.7304742837473754,1.3000732052916522
1977,6,1977.46,5.138447418199852,0.9565113352121415
1978,6,1978.46,4.640073363177478,0.45816219933167734
1979,6,1979.46,1.7440657575428489,0.5346850609331242
1980,6,1980.46,4.399582002649083,0.7107351505179348
1981,6,1981.46,3.6084944076091063,1.286061733558373
1982,6,1982.46,4.230568407291545,0.9825080605976363
1983,6,1983.46,6.3362416354231526,0.7137733024797227
1984,6,1984.46,4.520651435900481,1.2241109011348268
1985,6,1985.46,3.8730785200688995,1.247517515706563
1986,6,1986.46,4.879762371519581,1.2904515776658074
1987,6,1987.46,6.838208348488435,1.167926616837659
1988,6,1988.46,7.872662909099831,1.1497258052125345
1989,6,1989.46,6.899761331549844,0.6673678350001914
1990,6,1990.46,9.086385638581588,0.6605788726388011
1991,6,1991.46,8.369409812191503,1.0985336003481305
1992,6,1992.46,5.308486906739884,0.8613657875396794
1993,6,1993.46,8.588795276904479,0.9591603867020825
1994,6,1994.46,6.858336618540808,0.5191230620206109
1995,6,1995.46,6.8672593053514115,0.517232290063348
1996,6,1996.46,6.632367348820904,0.4713021749845527
1997,6,1997.46,8.549722222698852,0.450106227860772
1998,6,1998.46,7.9814416364496585,0.39416216093790907
1999,6,1999.46,6.473324038869703,0.35416632790492625
2000,6,2000.46,7.024765744247475,0.3510909041723913
2001,6,2001.46,4.776614619710018,0.38634895406762976
2002,6,2002.46,4.454851444057191,0.3634766621565001
2003,6,2003.46,4.854543169899843,0.3717306296551552
2004,6,2004.46,4.344189744079486,0.3749305235302654
2005,6,2005.46,3.304538848221185,0.3557490600264772
2006,6,2006.46,3.1164327691223,0.2714931464987513
2007,6,2007.46,2.889646007139724,0.2237942307963712
2008,6,2008.46,2.795079132415711,0.23437434578922176
2009,6,2009.46,2.0948879334498622,0.24938738663085963
2010,6,2010.46,1.6781714071939209,0.22777171467794505
2011,6,2011.46,1.7272489345586177,0.1991087800306712
2012,6,2012.46,0.9769096679286774,0.18521989296967925
2013,6,2013.46,0.8365688727606649,0.16776400648822928
2014,6,2014.46,0.9432323000413745,0.16065617805533425
2015,6,2015.46,0.15425933956079643,0.16126599166344746
2016,6,2016.46,0.1979839937729521,0.16082887030004145
2017,6,2017.46,0.5456115617590893,0.16162824824806832
2018,6,2018.46,0.6768018640018608,0.16253515286567324
2019,6,2019.46,0.2649204333004191,0.15406231948495955
2020,6,2020.46,0.19983621944131028,0.1405701292180519
2021,6,2021.46,0.7285920252700334,0.13849624135408337
2022,6,2022.46,0.10423312973064595,0.14516439362431444
2023,6,2023.46,-0.007576512944736366,0.17585795504492735
