# Global annual mole fraction for H-1211 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2025-04-14 13:36:03.024373+00:00 
# Units: ppt 
Year,Month,Decimal_date,Global_annual_mole_fraction,Global_annual_mole_fraction_1-sigma
1973,6,1973.46,0.2293146372743892,0.0759497345213988
1974,6,1974.46,0.2486178729883792,0.06602605051866249
1975,6,1975.46,0.34728940017980037,0.0575619892916899
1976,6,1976.46,0.4368684569273171,0.041985471883498
1977,6,1977.46,0.5793494518277613,0.03738229190520256
1978,6,1978.46,0.7503826371477319,0.039858218476007415
1979,6,1979.46,0.839074157025664,0.04159586927292898
1980,6,1980.46,0.9284937049368863,0.04583031557724368
1981,6,1981.46,1.0506779961416945,0.05627815296255981
1982,6,1982.46,1.1653887572925847,0.05688663945762015
1983,6,1983.46,1.3335756114366697,0.05176199270627813
1984,6,1984.46,1.4958267759095165,0.061898684906302105
1985,6,1985.46,1.6015321160204374,0.07242477764536594
1986,6,1986.46,1.7144586638327868,0.07442380802570152
1987,6,1987.46,1.8864088830816097,0.07751613948769796
1988,6,1988.46,2.1109296983493238,0.07447187952220397
1989,6,1989.46,2.3229079782824424,0.07591869518692088
1990,6,1990.46,2.554152068647295,0.08214352440825586
1991,6,1991.46,2.8029435534005187,0.0882171497919492
1992,6,1992.46,2.9621547664375947,0.09524134198664881
1993,6,1993.46,3.1290034598602694,0.09800105933369338
1994,6,1994.46,3.3183013831937793,0.10274072148867788
1995,6,1995.46,3.4668947638470633,0.10658776135319256
1996,6,1996.46,3.6069743565594883,0.11035644910186321
1997,6,1997.46,3.7796961832789706,0.11460926187365107
1998,6,1998.46,3.9703232869734393,0.11985639096745124
1999,6,1999.46,4.109625048655565,0.12357898563101231
2000,6,2000.46,4.228168340031664,0.12669471601661125
2001,6,2001.46,4.305970109288701,0.12941517266526947
2002,6,2002.46,4.3328994925325075,0.1302144204475095
2003,6,2003.46,4.364470678312968,0.13084327498011997
2004,6,2004.46,4.393620230457128,0.1314533385846011
2005,6,2005.46,4.3900116682617325,0.1307560510254529
2006,6,2006.46,4.36379912123766,0.1297551182796916
2007,6,2007.46,4.33184425090242,0.12878234418264747
2008,6,2008.46,4.295834716174653,0.1277188445926979
2009,6,2009.46,4.24459434823432,0.12647995639215973
2010,6,2010.46,4.173396808375701,0.12413578564717175
2011,6,2011.46,4.099110876119743,0.12169788107636652
2012,6,2012.46,4.0130539114308235,0.11910114382794598
2013,6,2013.46,3.913377077151607,0.11613308754584128
2014,6,2014.46,3.817605717142866,0.11332906841159558
2015,6,2015.46,3.7106847787624955,0.11010177330716932
2016,6,2016.46,3.5938134792730945,0.10677416017371637
2017,6,2017.46,3.490433750218481,0.10383360340905631
2018,6,2018.46,3.4000989426570505,0.10114567242039664
2019,6,2019.46,3.3057722178719904,0.09818162306893326
2020,6,2020.46,3.2054966888021847,0.0950664795004685
2021,6,2021.46,3.119031829317162,0.09255012935266034
2022,6,2022.46,3.031808245747953,0.08994361791584658
2023,6,2023.46,2.9333195544926216,0.08713363936953397
