# Global annual mole fraction Jan for H-1211 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2025-04-14 13:36:03.027082+00:00 
# Units: ppt 
Year,Month,Decimal_date,Global_annual_mole_fraction_Jan,Global_annual_mole_fraction_Jan_1-sigma
1973,12,1973.96,0.2145223779604255,0.07136221240894476
1974,12,1974.96,0.30166751197774233,0.061783455476936755
1975,12,1975.96,0.3905087971489076,0.05116170394303969
1976,12,1976.96,0.49617157918432636,0.0400654331149216
1977,12,1977.96,0.6688961282816126,0.038624560232958224
1978,12,1978.96,0.810025951883303,0.04051347067764666
1979,12,1979.96,0.8698289874124358,0.04330766869211274
1980,12,1980.96,0.9949583222075127,0.049832643930649345
1981,12,1981.96,1.1050808262977863,0.06230684509998335
1982,12,1982.96,1.2399644613849305,0.05152808485002787
1983,12,1983.96,1.425621782137971,0.05530346286098379
1984,12,1984.96,1.551524710075648,0.07009498182225177
1985,12,1985.96,1.6527865829175898,0.07442895846735005
1986,12,1986.96,1.7914244523163758,0.07672137435186534
1987,12,1987.96,1.9950007273691381,0.07770350629112563
1988,12,1988.96,2.223306284172803,0.07411433308139118
1989,12,1989.96,2.4286774840897825,0.07874666235971556
1990,12,1990.96,2.685315816920976,0.08553709124337731
1991,12,1991.96,2.898959059513547,0.09278296927872144
1992,12,1992.96,3.0280446712271396,0.09704707117852669
1993,12,1993.96,3.234162330847844,0.10060899964685027
1994,12,1994.96,3.392355880337291,0.10462972667905102
1995,12,1995.96,3.538050772979336,0.10868640638136863
1996,12,1996.96,3.6837746091409964,0.11226620224526741
1997,12,1997.96,3.8798659825441177,0.11729255848938108
1998,12,1998.96,4.048435465862998,0.12216410679908588
1999,12,1999.96,4.165946596854487,0.12491571264378037
2000,12,2000.96,4.278956034076281,0.12841217871122285
2001,12,2001.96,4.320096427743092,0.13005664701847558
2002,12,2002.96,4.346339035676453,0.13043240588539237
2003,12,2003.96,4.381565543028899,0.13129526028211339
2004,12,2004.96,4.396763079689335,0.131320938757401
2005,12,2005.96,4.377301196730283,0.13017767250397438
2006,12,2006.96,4.348573970596754,0.12937616852148867
2007,12,2007.96,4.313771969677773,0.12819297037964975
2008,12,2008.96,4.273394480812876,0.12721145852592752
2009,12,2009.96,4.210517601647371,0.12549111757098233
2010,12,2010.96,4.135529470510181,0.12282742174421223
2011,12,2011.96,4.0594029426700144,0.12054272264460153
2012,12,2012.96,3.963078670505858,0.11759101356624024
2013,12,2013.96,3.864462597160116,0.11472139305607977
2014,12,2014.96,3.7677255592961654,0.11184026520255197
2015,12,2015.96,3.651208032404819,0.10836872658187599
2016,12,2016.96,3.5397488359523863,0.10528769690743703
2017,12,2017.96,3.444192268344739,0.10246978529832404
2018,12,2018.96,3.3547960001725463,0.09975927416508464
2019,12,2019.96,3.2553934448688646,0.09659128921911256
2020,12,2020.96,3.1592665047587842,0.09371750135537091
2021,12,2021.96,3.0784513654356567,0.0913674303116233
2022,12,2022.96,2.9823371028530783,0.08849829502704464
