# Global mole fraction growth rate for H-1211 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2025-04-14 13:36:03.029270+00:00 
# Units: ppt 
Year,Month,Decimal_date,Global_mole_fraction_growth_rate,Global_mole_fraction_growth_rate_1-sigma
1973,1,1973.04,-0.036585684870220535,0.04457879922205461
1973,2,1973.12,-0.041672932973988726,0.04334897381898778
1973,3,1973.21,-0.045239765882438054,0.04229293442288388
1973,4,1973.29,-0.04687965961578862,0.04130419738874943
1973,5,1973.37,-0.04627432933477015,0.040244761129148154
1973,6,1973.46,-0.043187989854135925,0.03900433406260358
1973,7,1973.54,-0.03749103979981134,0.03753278433738398
1973,8,1973.62,-0.029260910940671972,0.035838278830642556
1973,9,1973.71,-0.018815652327483716,0.03399849496190615
1973,10,1973.79,-0.006655900572379315,0.032162123282310745
1973,11,1973.87,0.006617412854329967,0.03052353995807016
1973,12,1973.96,0.02040846871930943,0.02926464469019274
1974,1,1974.04,0.03410600189589887,0.028487942317645728
1974,2,1974.12,0.04718491051669653,0.028187368939849116
1974,3,1974.21,0.05920296716626011,0.028242116850911346
1974,4,1974.29,0.06979531043831429,0.028457737954162333
1974,5,1974.37,0.07869945189308306,0.02863977693525894
1974,6,1974.46,0.08582625031536932,0.028646243546103886
1974,7,1974.54,0.09124414210271817,0.028409854139031986
1974,8,1974.62,0.09507673867001573,0.02792749447852419
1974,9,1974.71,0.0974399471848873,0.027260136139555514
1974,10,1974.79,0.09849067187221018,0.026521968479263403
1974,11,1974.87,0.09843704790605542,0.025837537962832006
1974,12,1974.96,0.09754010903031961,0.025301978265085127
1975,1,1975.04,0.09607698454110784,0.024952882323714398
1975,2,1975.12,0.09435787991869808,0.024781920008102205
1975,3,1975.21,0.09262466328602541,0.024744454665999616
1975,4,1975.29,0.09103725841744616,0.024781939819577506
1975,5,1975.37,0.0896915763577673,0.02486809945500375
1975,6,1975.46,0.08869990036061898,0.025034551958364206
1975,7,1975.54,0.08818026714855003,0.025374504074390816
1975,8,1975.62,0.0881600372251771,0.026001869642965705
1975,9,1975.71,0.08855806976993132,0.027023349746579464
1975,10,1975.79,0.08924909464951625,0.02850028405864075
1975,11,1975.87,0.09011764276603071,0.030404438655125116
1975,12,1975.96,0.09113708418977777,0.03260157898021985
1976,1,1976.04,0.09234545639246289,0.034865019731085474
1976,2,1976.12,0.09387192417729631,0.03694640611033575
1976,3,1976.21,0.09583578337438714,0.03861611325522715
1976,4,1976.29,0.09833104472923303,0.039673618673129595
1976,5,1976.37,0.10144120993506096,0.03997314264381051
1976,6,1976.46,0.10527994598368767,0.03944879585715255
1976,7,1976.54,0.10996499382101348,0.03812500920831791
1976,8,1976.62,0.11551868548853016,0.03610404591838617
1976,9,1976.71,0.12180950214767675,0.03358667027656579
1976,10,1976.79,0.12860555901732548,0.030886620622498407
1976,11,1976.87,0.1356195501033384,0.028400709247220178
