# Semihemispheric annual emissions for H-1211 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2025-04-14 13:36:03.051838+00:00 
# Units: Gg/yr 
Year,Month,Decimal_date,Semihemispheric_annual_emissions_box0,Semihemispheric_annual_emissions_box1,Semihemispheric_annual_emissions_box2,Semihemispheric_annual_emissions_box3,Semihemispheric_annual_emissions_1-sigma_box0,Semihemispheric_annual_emissions_1-sigma_box1,Semihemispheric_annual_emissions_1-sigma_box2,Semihemispheric_annual_emissions_1-sigma_box3
1973,6,1973.46,-7.7046617758470015,7.184734527930469,7.881744382942913,-9.074529486883135,1.5459251011092972,2.283653058625047,1.9989763733912713,1.4937015938198037
1974,6,1974.46,-4.972755469802947,8.294467781014024,8.325790732488246,-8.806890279197377,1.7358449892887404,2.175951716533933,1.9767043680940048,1.4333502221978178
1975,6,1975.46,-6.03233382148017,8.322650602538108,8.698833540240468,-8.554120294130536,1.2741429704668157,2.0835672841409685,1.9150318319957451,1.3783932796614633
1976,6,1976.46,-7.197556477953314,9.027657231850146,9.17244604889059,-8.27207251904005,2.0146054009286867,2.2060616727791906,1.8690980470293597,1.317625113542007
1977,6,1977.46,-5.821656454964773,9.539932088977665,9.510854102428496,-8.090682318241535,1.3587802885455817,2.2161507711651205,1.842548117134295,1.268410615888697
1978,6,1978.46,-6.412996910837606,9.375373948957263,9.677528874156057,-7.999832549098239,1.5073745052590846,2.1834572395394294,1.7957160188213472,1.259377148134508
1979,6,1979.46,-7.914417010873407,9.074976657026111,9.394471652117074,-8.810965540726928,1.573884599869516,2.235146109598314,1.7871309829548343,1.1692496867543798
1980,6,1980.46,-5.505954767267645,8.98749312777275,9.29039776726815,-8.372354125124174,1.710403234612908,2.27524369742816,1.7673546922730863,1.2154729295485778
1981,6,1981.46,-6.078384710589796,8.65495133623421,9.063376917680204,-8.031449135715516,2.0729593370765134,2.28328788617997,1.7551528755673298,1.2167961171141313
1982,6,1982.46,-5.3359738339023295,8.443101554017487,8.850106633193912,-7.726665946017519,1.8083368696222106,2.2846886657491368,1.6862783428318662,1.2079470897594045
