# Semihemispheric annual emissions with no systematic uncertainty for H-1211 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2025-04-14 13:36:03.055202+00:00 
# Units: Gg/yr 
Year,Month,Decimal_date,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_box0,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_box1,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_box2,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_box3,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_1-sigma_box0,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_1-sigma_box1,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_1-sigma_box2,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_1-sigma_box3
1973,6,1973.46,-7.7046617758470015,7.184734527930469,7.881744382942913,-9.074529486883135,1.5488567500779815,2.360911999579325,1.9916239356638965,1.4944544808911695
1974,6,1974.46,-4.972755469802947,8.294467781014024,8.325790732488246,-8.806890279197377,1.794346765493188,2.263489199824738,1.9523844317928774,1.4246351099066774
1975,6,1975.46,-6.03233382148017,8.322650602538108,8.698833540240468,-8.554120294130536,1.3154192397702122,2.206300799688504,1.9104360271812153,1.3507651259963078
1976,6,1976.46,-7.197556477953314,9.027657231850146,9.17244604889059,-8.27207251904005,2.1031886453989657,2.3145380306937517,1.853939804768479,1.3045741597455855
1977,6,1977.46,-5.821656454964773,9.539932088977665,9.510854102428496,-8.090682318241535,1.4497499793293933,2.33453599125209,1.8299042245429145,1.2648244679827692
1978,6,1978.46,-6.412996910837606,9.375373948957263,9.677528874156057,-7.999832549098239,1.5862126712150562,2.2857165328938995,1.7520048223549123,1.251377484828908
1979,6,1979.46,-7.914417010873407,9.074976657026111,9.394471652117074,-8.810965540726928,1.6429686694074217,2.2807466077539194,1.7607210590031088,1.1495864890007925
1980,6,1980.46,-5.505954767267645,8.98749312777275,9.29039776726815,-8.372354125124174,1.75561763113779,2.313622796877664,1.7331149481243229,1.1755085455996925
1981,6,1981.46,-6.078384710589796,8.65495133623421,9.063376917680204,-8.031449135715516,2.179630863742096,2.312850391282414,1.728148202916165,1.176611226063548
1982,6,1982.46,-5.3359738339023295,8.443101554017487,8.850106633193912,-7.726665946017519,1.7718113136044034,2.289088120063253,1.6579052463497148,1.1827156548588786
1983,6,1983.46,-3.1388877964425532,8.303515746029523,8.616761157450766,-7.445147471614585,1.349195866644675,2.3112069159673108,1.6489648782595787,1.1583352523483839
1984,6,1984.46,-4.695271991191775,7.953238522739825,8.385856829598666,-7.123171925246239,2.0927011811477665,2.2763412502960945,1.638673750625476,1.129231570083344
1985,6,1985.46,-5.097987023133696,7.687014784468146,8.151416251978814,-6.867365493244365,2.1365007669941276,2.2652986487156292,1.606653048371931,1.1385569726804627
1986,6,1986.46,-4.208089148567468,7.648088012102097,7.991303674082967,-6.551540166098012,2.065393530291014,2.224955194210496,1.5855888737819122,1.145386247116184
1987,6,1987.46,-2.8377478785537193,7.688243732856871,8.004188347990544,-6.01647585380526,1.8264206091946242,2.177158812160514,1.5572565275885386,1.1278601760480376
1988,6,1988.46,-2.264992102211059,7.592755039536741,8.062189707656561,-5.517289735882415,1.5990638281963403,2.1174828757024686,1.4968302136461942,1.0735163393185634
1989,6,1989.46,-2.8973666384163947,7.424424806230518,7.650110083785417,-5.277406920049691,1.7132693701265036,2.1323928652403077,1.4469326067926271,1.0248659346322497
1990,6,1990.46,-0.07708427495670378,7.216687755369393,7.075786983976722,-5.129004825807825,1.6459039756272713,2.069625097240735,1.4165835411845245,1.0151337597881642
1991,6,1991.46,0.7001457139732548,6.71320067395419,6.351200359923959,-5.3951369356599,1.7278442582962903,1.9969209845504508,1.398937895318836,0.9784614736630761
1992,6,1992.46,-2.470271195751323,6.583419906911256,6.4346450332759915,-5.239306837696037,1.6028909235971571,1.8714548585714317,1.3266339238145821,0.9587214718181155
1993,6,1993.46,0.1667923497196142,6.924097121538224,6.329722112957508,-4.8318163073108655,1.481026830962963,1.7699198305791413,1.2715157291860746,0.9133683112087039
1994,6,1994.46,-0.6710242179299595,6.152060303338616,5.914615659828395,-4.537315126696243,1.2430070650585472,1.689294426377784,1.2499270436954673,0.8847138997302347
1995,6,1995.46,-0.5863307708817587,5.809990861153602,5.7542351895716335,-4.110635974492067,1.1395346265498174,1.5715347328263307,1.2135529401363863,0.8774222360086953
1996,6,1996.46,-1.3570113165419695,5.834554727416113,5.698832695630313,-3.544008757683553,1.071950676340063,1.4996875556810227,1.177229186563036,0.8416462964867591
1997,6,1997.46,0.3168554724284789,5.820240794899314,5.560306699660153,-3.1476807442890933,1.0464531861691897,1.3499011651857409,1.1480681602446794,0.8135752467021611
1998,6,1998.46,0.2358442247102257,5.852872828626631,4.936770627705202,-3.044046044592403,0.8777301732970417,1.2368873471030772,1.0893827850772722,0.7820324417813727
1999,6,1999.46,-0.42590391066948285,5.363452390671149,4.485038778083651,-2.9492632192156165,0.8632176302780928,1.2089027205808034,1.0375160980191962,0.7328899830700817
2000,6,2000.46,0.8157353724944816,4.684747165793182,4.0240206699476095,-2.499737463987798,0.8111188932348287,1.1811646098577073,0.9694728312715328,0.6895381477800697
2001,6,2001.46,-0.23075888909725428,4.0264376136241475,3.4906968258721753,-2.5097609306890516,0.8018527356148705,1.1178445212719788,0.9032581735283918,0.6323550654135262
2002,6,2002.46,0.11183537677890154,3.3839311156250536,3.0574356795597524,-2.0983507279065177,0.7424550276577842,1.0356351588576347,0.8285036848358709,0.5963124415066976
2003,6,2003.46,0.8166797649889626,3.1102118476815517,2.70601215307217,-1.778360595842842,0.6828769845369365,0.9137460665559224,0.757352885254668,0.5446972312740843
2004,6,2004.46,1.6393955098268016,1.8580253533539366,2.088843198279179,-1.242074317380432,0.5501349885500614,0.6788772996223839,0.6438911099618423,0.4755977196337474
2005,6,2005.46,1.661635493332543,1.0180485186553325,1.4295643630636932,-0.8047095268303828,0.32426193147067933,0.3500067222749903,0.45951892463784827,0.38369996930868333
2006,6,2006.46,1.7379168943521146,0.8775274134241163,0.908821644767892,-0.4078331834218223,0.23132715149094552,0.2721303608612799,0.27516225499860936,0.2994051158255198
2007,6,2007.46,1.7164014293766865,0.7061465763146423,0.6331196308606719,-0.16602162941227713,0.23864015783450593,0.27345932819203034,0.2564772475991798,0.23372939002123128
2008,6,2008.46,1.8314947212646082,0.37971177242289994,0.6123093872527879,-0.0284367485245855,0.23650453953187064,0.283356921893388,0.25701535817779675,0.23123678672521925
2009,6,2009.46,1.3930978297292727,0.3021854360938741,0.36264251167126743,0.03696215595544899,0.2374563289394075,0.2586060978784058,0.28637423334259304,0.24797020578277956
2010,6,2010.46,1.3064544142721604,0.21261162314175894,0.32916442529270407,-0.1700590555127031,0.22834766086554206,0.25378217941651754,0.25344442382487475,0.18819974690852936
2011,6,2011.46,1.0700730252387847,0.4664527173826543,0.42266747898175855,-0.23194428704457962,0.20918422541016846,0.2570914882607658,0.21833397240409566,0.1953198087176185
2012,6,2012.46,0.8904044515868765,0.10208088320558749,0.12317896633348006,-0.13875463319726658,0.20715506537000394,0.23777556045746323,0.22876807508523814,0.172657768247873
2013,6,2013.46,0.8886370358241097,-0.0688628070016137,0.14347575623415376,-0.126681112295985,0.17340017458268223,0.19982008867918657,0.17924630030937375,0.15484145498136176
2014,6,2014.46,0.7896694797470937,0.2075474129403476,0.09751295389174146,-0.15149754653780842,0.18098440094671644,0.226864103309169,0.1713310146676477,0.14327892648247037
2015,6,2015.46,0.47899533851319026,-0.023254173145924872,-0.06927031271629432,-0.23221151309017476,0.1805939071096767,0.2040594585178417,0.16907754302492756,0.15013250874763884
2016,6,2016.46,0.6440051881193122,-0.1192558779328108,0.049405782292755884,-0.3761710987063052,0.1830784558330044,0.21783662037524976,0.1739327904039783,0.15181566184823073
2017,6,2017.46,0.6050479601492534,-0.007812230770706086,0.24669961567542917,-0.2983237832948871,0.17653033503127735,0.21269470205257301,0.1789772077679109,0.14595498300328416
2018,6,2018.46,0.5916400186390584,0.04936469476637212,0.11829033757408493,-0.08249318697765472,0.1567881612164044,0.19914841553450785,0.1634600976815584,0.14827344871016987
2019,6,2019.46,0.37307020367780214,0.11876014866742411,-0.13116099970806802,-0.09574891933673922,0.17651127426255014,0.23090382479281202,0.17360489036969914,0.14372352064686056
2020,6,2020.46,0.5025394121564696,-0.0865509847537949,-0.11980325730643958,-0.09634895065492498,0.1614545720747489,0.19348568253112236,0.168971131530567,0.14939345369929447
2021,6,2021.46,0.4379231671341622,0.37827865911491626,-0.20187072013470267,0.11426091915565754,0.1469675810736535,0.17511339951576355,0.15472167263471479,0.12667144966994331
2022,6,2022.46,0.23184143585320185,0.2451832496188233,-0.26730456541099124,-0.10548699033038796,0.15471606427751788,0.19316473985575416,0.16504456839492984,0.1415698853511248
2023,6,2023.46,0.24875109133501297,-0.09994820559590338,-0.05890398477069,-0.09747541391315605,0.16823052669081673,0.22953378239658326,0.20373378119291838,0.16375923472398382
