# Global annual emissions with no systematic uncertainty for CFC-115 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2022-08-17 21:55:00.489274+00:00 
# Units: Gg/yr 
Year,Month,Decimal_date,Global_annual_emissions_with_no_systematic_uncertainty,Global_annual_emissions_with_no_systematic_uncertainty_1-sigma
1978,6,1978.46,5.032886533253321,0.7356929007128606
1979,6,1979.46,6.064941551674444,0.6944491045507009
1980,6,1980.46,6.793599999593581,0.6980549561987928
1981,6,1981.46,7.314843803894523,0.6954433704190109
1982,6,1982.46,7.970580039469854,0.6855424815250835
1983,6,1983.46,8.5330531801207,0.7227890115590307
1984,6,1984.46,9.116420328638371,0.6702052200673065
1985,6,1985.46,9.697427870641151,0.6379755612056703
1986,6,1986.46,10.68298361181172,0.6693290026558174
1987,6,1987.46,11.58531563217766,0.6192324748936328
1988,6,1988.46,12.252713125494912,0.6336692500593735
1989,6,1989.46,12.253390854716512,0.6719233326663198
1990,6,1990.46,12.120148200701893,0.6272361110186806
1991,6,1991.46,11.673561890523294,0.6521203769459912
1992,6,1992.46,10.981484713180963,0.6356151288142672
1993,6,1993.46,11.162817996646409,0.5940788577985847
1994,6,1994.46,10.354615452725914,0.5907053105480461
1995,6,1995.46,8.472956431692678,0.5735017762259333
1996,6,1996.46,6.835419338740128,0.595337736712187
1997,6,1997.46,5.783786336378022,0.5669239416544207
1998,6,1998.46,4.506369548199191,0.5871851084250359
1999,6,1999.46,3.3807175489479007,0.5948111866155784
2000,6,2000.46,2.643413526497483,0.6368387565866751
2001,6,2001.46,2.487344984517183,0.5930472731908251
2002,6,2002.46,2.2968912218107858,0.5902143311055615
2003,6,2003.46,1.8338036328515672,0.5830054879764205
2004,6,2004.46,1.2750943309850093,0.3967080911084474
2005,6,2005.46,0.7188742380678531,0.325412391574054
2006,6,2006.46,0.868464592052371,0.29598270323788334
2007,6,2007.46,0.7528206694225,0.2691714234505822
2008,6,2008.46,0.7248089192362567,0.30109084033684425
2009,6,2009.46,0.4678964628681757,0.30587395032683334
2010,6,2010.46,0.4798855313308492,0.31026025669144053
2011,6,2011.46,0.781597008434651,0.27559398306119703
2012,6,2012.46,0.9315018272794103,0.27270913072452235
2013,6,2013.46,0.7453249818802737,0.26814470663086604
2014,6,2014.46,0.9814012521836434,0.2596669007574002
2015,6,2015.46,1.2890070899071566,0.2475813916039046
2016,6,2016.46,1.4710844792919102,0.25628311450414865
2017,6,2017.46,1.9924941310077988,0.24101830833475119
2018,6,2018.46,1.8798153648578477,0.26249939850129045
2019,6,2019.46,1.7789424500791415,0.26118293819726035
2020,6,2020.46,1.4029828504944415,0.3540483874473839
