# Global annual mole fraction for CFC-115 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2022-08-17 21:55:00.459335+00:00 
# Units: ppt 
Year,Month,Decimal_date,Global_annual_mole_fraction,Global_annual_mole_fraction_1-sigma
1978,6,1978.46,1.251004757526252,0.10095978571994857
1979,6,1979.46,1.4687997271741347,0.10638174134108563
1980,6,1980.46,1.7185587638459499,0.10823216911056545
1981,6,1981.46,1.9889704136883337,0.10896996312828224
1982,6,1982.46,2.279540411807242,0.1098423153340208
1983,6,1983.46,2.5914081425193047,0.11167104252219133
1984,6,1984.46,2.9232626953753793,0.11629985699814581
1985,6,1985.46,3.275695434502784,0.1230935657084759
1986,6,1986.46,3.6582090821483195,0.13116185045739268
1987,6,1987.46,4.0765578496046215,0.14068543506854037
1988,6,1988.46,4.522758238241518,0.1513741701447735
1989,6,1989.46,4.976348430425535,0.1620134401800048
1990,6,1990.46,5.421717215515085,0.1729918344738486
1991,6,1991.46,5.850880487371957,0.1840541879809618
1992,6,1992.46,6.253408380606028,0.19443168141820033
1993,6,1993.46,6.646438702818705,0.20452378420348977
1994,6,1994.46,7.025492497105906,0.2141879538184076
1995,6,1995.46,7.34515791292441,0.22385367585333957
1996,6,1996.46,7.591953136107215,0.23155503841247996
1997,6,1997.46,7.788189998965341,0.23652890190657624
1998,6,1998.46,7.941386933114132,0.23969169929319636
1999,6,1999.46,8.050175884433704,0.24146785301009352
2000,6,2000.46,8.126783083846039,0.24288323173463577
2001,6,2001.46,8.192046825181844,0.24503206316626885
2002,6,2002.46,8.255397150427159,0.2467574440624569
2003,6,2003.46,8.307787094747653,0.2467415659467463
2004,6,2004.46,8.340617362359517,0.2466111433637202
2005,6,2005.46,8.352135242053485,0.24684134950520797
2006,6,2006.46,8.35924735879833,0.2469327542477623
2007,6,2007.46,8.369632658837615,0.24713891135183086
2008,6,2008.46,8.378463438916029,0.24723715745547928
2009,6,2009.46,8.381769564629357,0.2473223980048511
2010,6,2010.46,8.381056469965545,0.24761079168186031
2011,6,2011.46,8.388716119948874,0.24814134053681003
2012,6,2012.46,8.406261984433435,0.2487427455379729
2013,6,2013.46,8.421728795644094,0.24902547011919932
2014,6,2014.46,8.438498929421058,0.24941441773178016
2015,6,2015.46,8.467145320908372,0.2500716436189372
2016,6,2016.46,8.505252216820999,0.2512127321546764
2017,6,2017.46,8.558001556852242,0.25266888878994775
2018,6,2018.46,8.61716403478645,0.2542266521453926
2019,6,2019.46,8.669738514701642,0.25601770935919965
2020,6,2020.46,8.710789273949253,0.25777940309986475
