# Semihemispheric annual emissions with no systematic uncertainty for CFC-115 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2022-08-17 21:55:00.498133+00:00 
# Units: Gg/yr 
Year,Month,Decimal_date,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_box0,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_box1,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_box2,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_box3,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_1-sigma_box0,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_1-sigma_box1,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_1-sigma_box2,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_1-sigma_box3
1978,6,1978.46,3.3350454026964393,0.6476781551032988,0.5066309675185143,0.5435320079350688,2.1716068600308045,1.8752559137607026,1.0852075020473761,0.8332087766744413
1979,6,1979.46,4.111186611619154,0.7181377104131262,0.5996085497102069,0.6360086799319554,2.0556146299867333,1.870559215153055,1.0737159303737867,0.8284142481792443
1980,6,1980.46,4.623132888213465,0.7916837868125661,0.6687751144717408,0.7100082100958075,2.0053130279300286,1.8312697108422873,1.0658873048187951,0.8211210526516349
1981,6,1981.46,4.907009963836475,0.9188283106339755,0.7326008438829986,0.7564046855410748,1.9422721751829146,1.8148200249973752,1.0472828922684965,0.8109938017897517
1982,6,1982.46,5.276102380092639,1.0708796286320692,0.8222496298523544,0.8013484008927912,1.926297827537552,1.7906199906365103,1.021300772480612,0.8019566484113564
1983,6,1983.46,5.527013260649173,1.2271604671317378,0.914944736956779,0.8639347153830065,1.8721555273516972,1.7611122367207843,1.0096363851827292,0.7913912255652445
1984,6,1984.46,5.733611880213689,1.4307585119365864,1.0193522932487966,0.9326976432393012,1.839977231308205,1.7283553462900092,0.9982721649222669,0.7788374765382392
1985,6,1985.46,6.000260657900546,1.5876038649066508,1.1114223686516687,0.9981409791822878,1.8567817830532143,1.7114633771150825,0.9734140234531069,0.7681539179629404
1986,6,1986.46,6.468647799467731,1.8080361125813706,1.2563280058128719,1.1499716939497462,1.8090432051376326,1.6898873422217568,0.9439215415986497,0.7533865380289574
1987,6,1987.46,7.0520411227220885,1.914486646834227,1.3744359851755232,1.244351877445817,1.7483722247039677,1.681224806729552,0.9165162449495996,0.7327711625511804
1988,6,1988.46,7.568238072060409,1.9034101537982908,1.4661976102597551,1.3148672893764566,1.7572986686356713,1.6636738424764828,0.8972688948736723,0.7178285426070282
1989,6,1989.46,7.418907173919664,1.9822650275708182,1.5166096523161727,1.3356090009098571,1.7304864075289548,1.6263390522158205,0.864444111632505,0.698541811426151
1990,6,1990.46,7.3860067282493125,1.9080978815405263,1.494853571444746,1.331190019467312,1.6495272768829736,1.5856205522747164,0.8497525558609575,0.6867138612367701
1991,6,1991.46,7.107177645467702,1.8133407815187867,1.44971122076454,1.3033322427722616,1.6065180675884003,1.5665321224475874,0.8264541069885217,0.6657917388824102
