# McCulloch et al (2007) CFC-115 emissions divided by 7,,,,
# UNITS: Gg/yr,,,,
Year,box_0,box_1,box_2,box_3
1930,0,0,0,0
1931,0,0,0,0
1932,0,0,0,0
1933,0,0,0,0
1934,0,0,0,0
1935,0,0,0,0
1936,0,0,0,0
1937,0,0,0,0
1938,0,0,0,0
1939,0,0,0,0
1940,0,0,0,0
1941,0,0,0,0
1942,0,0,0,0
1943,0,0,0,0
1944,0,0,0,0
1945,0,0,0,0
1946,0,0,0,0
1947,0,0,0,0
1948,0,0,0,0
1949,0,0,0,0
1950,0,0,0,0
1951,0,0,0,0
1952,0,0,0,0
1953,0,0,0,0
1954,0,0,0,0
1955,0,0,0,0
1956,0,0,0,0
1957,0,0,0,0
1958,0,0,0,0
1959,0,0,0,0
1960,0,0,0,0
1961,0,0,0,0
1962,0,0,0,0
1963,0,0,0,0
1964,0.009235714,0.000782143,0.000385714,0.000310714
1965,0.021303714,0.001804143,0.000889714,0.000716714
1966,0.041129714,0.003483143,0.001717714,0.001383714
1967,0.069083143,0.005850429,0.002885143,0.002324143
1968,0.101962286,0.008634857,0.004258286,0.003430286
1969,0.135703429,0.011492286,0.005667429,0.004565429
1970,0.168336286,0.014255857,0.007030286,0.005663286
1971,0.201461714,0.017061143,0.008413714,0.006777714
1972,0.236680571,0.020043714,0.009884571,0.007962571
1973,0.275593714,0.023339143,0.011509714,0.009271714
1974,0.320787143,0.027166429,0.013397143,0.010792143
1975,0.373615429,0.031640286,0.015603429,0.012569429
1976,0.434201714,0.036771143,0.018133714,0.014607714
1977,0.504023714,0.042684143,0.021049714,0.016956714
1978,0.585421143,0.049577429,0.024449143,0.019695143
1979,0.680733714,0.057649143,0.028429714,0.022901714
1980,0.781587714,0.066190143,0.032641714,0.026294714
1981,0.882237857,0.080484857,0.038178714,0.030955714
1982,0.975371429,0.09696,0.045017143,0.036937143
1983,1.076751857,0.109846571,0.049814143,0.040873143
1984,1.157456286,0.122489429,0.053675143,0.042664857
1985,1.222232571,0.127436571,0.056477571,0.041996143
1986,1.262548571,0.144508571,0.063888,0.050197714
1987,1.300082143,0.154434,0.069337714,0.052003286
1988,1.347088,0.153300571,0.075019429,0.055449143
1989,1.390662,0.1698,0.081504,0.056034
1990,1.42974,0.174571429,0.083794286,0.057608571
1991,1.478295,0.1805,0.08664,0.059565
1992,1.484145,0.181214286,0.086982857,0.059800714
1993,1.474083,0.179985714,0.086393143,0.059395286
1994,1.394991,0.170328571,0.081757714,0.056208429
1995,1.274598,0.155628571,0.074701714,0.051357429
1996,1.112319,0.135814286,0.065190857,0.044818714
1997,0.910377,0.111157143,0.053355429,0.036681857
1998,0.697671,0.085185714,0.040889143,0.028111286
1999,0.486252,0.059371429,0.028498286,0.019592571
2000,0.31707,0.038714286,0.018582857,0.012775714
2001,0.190593,0.023271429,0.011170286,0.007679571
2002,0.116649,0.014242857,0.006836571,0.004700143
2003,0.073242,0.008942857,0.004292571,0.002951143
2004,0.05031,0.006142857,0.002948571,0.002027143
2005,0.031941,0.0039,0.001872,0.001287
2006,0.019422,0.002371429,0.001138286,0.000782571
2007,0.012051,0.001471429,0.000706286,0.000485571
2008,0.007722,0.000942857,0.000452571,0.000311143
2009,0.006201,0.000757143,0.000363429,0.000249857
2010,0.004563,0.000557143,0.000267429,0.000183857
2011,0.003861,0.000471429,0.000226286,0.000155571
2012,0.003276,0.0004,0.000192,0.000132
2013,0.00234,0.000285714,0.000137143,9.43E-05
2014,0.001287,0.000157143,7.54E-05,5.19E-05
2015,0.000702,8.57E-05,4.11E-05,2.83E-05
2016,0.000351,4.29E-05,2.06E-05,1.41E-05
2017,0.000117,1.43E-05,6.86E-06,4.71E-06
2018,0,0,0,0
2019,0,0,0,0
2020,0,0,0,0
2021,0,0,0,0
2022,0,0,0,0
2023,0,0,0,0
2024,0,0,0,0
2025,0,0,0,0
2026,0,0,0,0
2027,0,0,0,0
2028,0,0,0,0
2029,0,0,0,0
2030,0,0,0,0
2031,0,0,0,0
2032,0,0,0,0
2033,0,0,0,0
2034,0,0,0,0
2035,0,0,0,0
2036,0,0,0,0
2037,0,0,0,0
2038,0,0,0,0
2039,0,0,0,0
2040,0,0,0,0
2041,0,0,0,0
2042,0,0,0,0
2043,0,0,0,0
2044,0,0,0,0
2045,0,0,0,0
2046,0,0,0,0
2047,0,0,0,0
2048,0,0,0,0
2049,0,0,0,0
2050,0,0,0,0
2051,0,0,0,0
2052,0,0,0,0
2053,0,0,0,0
2054,0,0,0,0
2055,0,0,0,0
2056,0,0,0,0
2057,0,0,0,0
2058,0,0,0,0
2059,0,0,0,0
2060,0,0,0,0
2061,0,0,0,0
2062,0,0,0,0
2063,0,0,0,0
2064,0,0,0,0
2065,0,0,0,0
2066,0,0,0,0
2067,0,0,0,0
2068,0,0,0,0
2069,0,0,0,0
2070,0,0,0,0
2071,0,0,0,0
2072,0,0,0,0
2073,0,0,0,0
2074,0,0,0,0
2075,0,0,0,0
2076,0,0,0,0
2077,0,0,0,0
2078,0,0,0,0
2079,0,0,0,0
2080,0,0,0,0
2081,0,0,0,0
2082,0,0,0,0
2083,0,0,0,0
2084,0,0,0,0
2085,0,0,0,0
2086,0,0,0,0
2087,0,0,0,0
2088,0,0,0,0
2089,0,0,0,0
2090,0,0,0,0
2091,0,0,0,0
2092,0,0,0,0
2093,0,0,0,0
2094,0,0,0,0
2095,0,0,0,0
2096,0,0,0,0
2097,0,0,0,0
2098,0,0,0,0
2099,0,0,0,0
2100,0,0,0,0
