# Global annual emissions for CFC-13 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2022-08-17 21:36:12.239334+00:00 
# Units: Gg/yr 
Year,Month,Decimal_date,Global_annual_emissions,Global_annual_emissions_1-sigma
1978,6,1978.46,1.1185177628469114,0.13966020501197907
1979,6,1979.46,1.3684971200098743,0.14633531641967293
1980,6,1980.46,1.5972242313586804,0.14723725469521187
1981,6,1981.46,1.8149799625479242,0.15002826196621602
1982,6,1982.46,2.032369568084362,0.1539150280346713
1983,6,1983.46,2.2403710680334123,0.1548969547691616
1984,6,1984.46,2.3798212523394993,0.15720535846863865
1985,6,1985.46,2.435965135239943,0.15574001791362396
1986,6,1986.46,2.4306545186732396,0.15434972599388966
1987,6,1987.46,2.3378021067084664,0.1544012927289204
1988,6,1988.46,2.1935545897221984,0.1550950307422022
1989,6,1989.46,2.02697752105168,0.15236404678564494
1990,6,1990.46,1.8286773304029351,0.14217906645581244
1991,6,1991.46,1.6595377869858439,0.1369041184878534
1992,6,1992.46,1.4686801810928805,0.12914673540883453
1993,6,1993.46,1.314598006166261,0.13022290181162893
1994,6,1994.46,1.1272934278795095,0.1308500811099892
1995,6,1995.46,0.9184616083714513,0.12569722217799836
1996,6,1996.46,0.7319677267065385,0.1205648414327453
1997,6,1997.46,0.5959114361230735,0.11834244273725819
1998,6,1998.46,0.4947123557801303,0.11831993320318963
1999,6,1999.46,0.4180031706748987,0.11591993269626694
2000,6,2000.46,0.3877843447626788,0.11639628845289848
2001,6,2001.46,0.39819408592876643,0.11438145849452779
2002,6,2002.46,0.44225031494759737,0.11135493080358336
2003,6,2003.46,0.4716829293208455,0.11193111074412941
2004,6,2004.46,0.5185159889762605,0.10467264068253453
2005,6,2005.46,0.5299617761936828,0.09126842173801925
2006,6,2006.46,0.4694576462728624,0.07967803607255523
2007,6,2007.46,0.3626270017490491,0.07763459659361366
2008,6,2008.46,0.3547149395610461,0.07503088509855162
2009,6,2009.46,0.42035203655459,0.07767433248705885
2010,6,2010.46,0.4941326960599926,0.08146637615988138
2011,6,2011.46,0.5535571772958485,0.07813423271413437
2012,6,2012.46,0.5783456497473672,0.078397143672609
2013,6,2013.46,0.557002756213042,0.07468173415760987
2014,6,2014.46,0.4890312343303364,0.07449426880332939
2015,6,2015.46,0.48379333792129325,0.07600571286716776
2016,6,2016.46,0.5481392469427611,0.07752642977310499
2017,6,2017.46,0.6203945960357721,0.07496404323003761
2018,6,2018.46,0.6996517511693243,0.07860142727754113
2019,6,2019.46,0.7278093147526468,0.07946178367403459
2020,6,2020.46,0.6953546640219473,0.11012801628638316
