# Global annual mole fraction Jan for CFC-13 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2022-08-17 21:36:12.212296+00:00 
# Units: ppt 
Year,Month,Decimal_date,Global_annual_mole_fraction_Jan,Global_annual_mole_fraction_Jan_1-sigma
1978,12,1978.96,1.099404594169111,0.043748409402373414
1979,12,1979.96,1.1776599830173595,0.04696792448535488
1980,12,1980.96,1.2685475436016684,0.049374731965061695
1981,12,1981.96,1.3712564502140416,0.05163760316787924
1982,12,1982.96,1.4855761079159961,0.05415786166424253
1983,12,1983.96,1.6103808912611417,0.05692873536474944
1984,12,1984.96,1.7415463668392768,0.059992354278513495
1985,12,1985.96,1.8743013362999488,0.06309615369593269
1986,12,1986.96,2.004795064573941,0.06609868475786493
1987,12,1987.96,2.1284721665873665,0.06860519307481798
1988,12,1988.96,2.2427411055569646,0.07086878680393137
1989,12,1989.96,2.346463957803551,0.0731696602157782
1990,12,1990.96,2.4387304109746704,0.0755052343709061
1991,12,1991.96,2.520925256266646,0.07775480847157586
1992,12,1992.96,2.592692742571434,0.07955349289857647
1993,12,1993.96,2.6555178336877288,0.08114589184979348
1994,12,1994.96,2.7078212857512582,0.08246431734612546
1995,12,1995.96,2.7486654938524517,0.0834884503107816
1996,12,1996.96,2.779602223253837,0.08408545465126092
1997,12,1997.96,2.803549975267973,0.08449908717946708
1998,12,1998.96,2.822578053362974,0.08500668035199502
1999,12,1999.96,2.8382974794236557,0.08557846137658627
2000,12,2000.96,2.853242170834774,0.08596593591594624
2001,12,2001.96,2.869670676348315,0.08635866860834544
2002,12,2002.96,2.8889795737676613,0.08671916338108503
2003,12,2003.96,2.9105044175366763,0.08711354185376215
2004,12,2004.96,2.9344859626372926,0.08772790840182194
2005,12,2005.96,2.958494868097588,0.08838579905439402
2006,12,2006.96,2.978443840546925,0.08904670608427354
2007,12,2007.96,2.992866804245192,0.08953836737210127
2008,12,2008.96,3.007275398078636,0.08976230838173652
2009,12,2009.96,3.0257996972709402,0.09030782408776476
2010,12,2010.96,3.0487922357150783,0.09116554863370227
2011,12,2011.96,3.0750198589243483,0.09209639964722549
2012,12,2012.96,3.102178606554132,0.09280075118721343
2013,12,2013.96,3.127439999361774,0.09350140851365048
2014,12,2014.96,3.149060655467617,0.09416144618744304
2015,12,2015.96,3.170707492925152,0.0947607476077489
2016,12,2016.96,3.196173858198412,0.0955972970662155
2017,12,2017.96,3.226102304548879,0.09647610494734782
2018,12,2018.96,3.260192744554019,0.09732566347324237
2019,12,2019.96,3.295292297133527,0.09856672850815348
