# Semihemispheric annual emissions for CFC-13 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2022-08-17 21:36:12.249215+00:00 
# Units: Gg/yr 
Year,Month,Decimal_date,Semihemispheric_annual_emissions_box0,Semihemispheric_annual_emissions_box1,Semihemispheric_annual_emissions_box2,Semihemispheric_annual_emissions_box3,Semihemispheric_annual_emissions_1-sigma_box0,Semihemispheric_annual_emissions_1-sigma_box1,Semihemispheric_annual_emissions_1-sigma_box2,Semihemispheric_annual_emissions_1-sigma_box3
1978,6,1978.46,0.5054161746038768,0.31634370050604577,0.18420468684227068,0.11255320089471794,0.3268795677136973,0.24172856051979308,0.1810222160690488,0.14779654826521987
1979,6,1979.46,0.7155027237615174,0.33253585560773774,0.19582008999721492,0.12463845064340433,0.31873978893386307,0.23841320132676694,0.17898074186756827,0.1463212920361698
1980,6,1980.46,0.9079166355123435,0.34565501209306104,0.20691421292648005,0.1367383708267957,0.3025503889956301,0.23458643113860458,0.1762053807105304,0.14519407389695757
1981,6,1981.46,1.0846666382841053,0.3642398947390609,0.21796031357901754,0.14811311594574053,0.2944319956205509,0.23255338952868287,0.17439555763795836,0.1451329094155023
1982,6,1982.46,1.2621664693441867,0.3822100795965881,0.22877191014017825,0.15922110900340863,0.2848898149707697,0.22900868775456565,0.17184565582852324,0.14357249680284984
1983,6,1983.46,1.4394438809407546,0.39743816968609785,0.23619734743598655,0.16729166997057374,0.2806889437494548,0.2238681417026394,0.1700561242331976,0.14302059578952517
1984,6,1984.46,1.5592515201301007,0.4056461911635481,0.2415749780842815,0.1733485629615683,0.2746286215133824,0.21895640805363106,0.1679425072920572,0.14060064158795096
1985,6,1985.46,1.6148676016515606,0.4020166021597329,0.2433841022525619,0.17569682917608806,0.27184997482952344,0.21741736891044008,0.16465333397571483,0.13898821368391492
1986,6,1986.46,1.594077285077294,0.4024106185351162,0.24807594888209825,0.18609066617873057,0.26863079234735765,0.21535758702709631,0.16229665842246122,0.13783534298143754
1987,6,1987.46,1.5093275653905305,0.39242519096679135,0.2483739071345125,0.18767544321663218,0.26457228546394657,0.21362997273216694,0.16084967283041335,0.1358797839138654
1988,6,1988.46,1.3965009156528423,0.36342313978730806,0.24570916558242753,0.1879213686996206,0.2567792616898597,0.20933138579431174,0.16067839766783776,0.13403493244232104
1989,6,1989.46,1.2555473101495846,0.3510171849173091,0.2397271958797669,0.18068583010501912,0.24359593689963832,0.20376965514761294,0.15788162465589956,0.13283913463651098
1990,6,1990.46,1.1070028799342106,0.32371333439970723,0.2264941492205477,0.17146696684846915,0.2425924877489218,0.19885410082879554,0.155038817609748,0.1295488993138714
1991,6,1991.46,0.9887564226625861,0.2984857945427293,0.21227625368958994,0.16001931609093895,0.23735111136200793,0.19594063199987152,0.1502864215290779,0.1277393079521713
1992,6,1992.46,0.8555794046682698,0.27028368211801995,0.19607637310401324,0.14674072120257733,0.22616407201642305,0.19245737688526754,0.14781983156528652,0.12411993409789447
1993,6,1993.46,0.7537886540149222,0.24492117299949964,0.18128337390821184,0.13460480524362747,0.22225823889204516,0.1865366690163568,0.14441218807104936,0.1205821309814485
1994,6,1994.46,0.6248878543189843,0.21566162249731533,0.1646021071466548,0.12214184391655515,0.21766409000503947,0.18457389830895624,0.14133003078682957,0.11787460356687018
1995,6,1995.46,0.4798988696667061,0.18333507981539607,0.1464300634920226,0.10879759539732657,0.21125144707677326,0.18058697821676725,0.13739779802728752,0.11428258427102703
1996,6,1996.46,0.3606350026259202,0.15217862735375154,0.12675008168602162,0.09240401504084515,0.20260789361171533,0.1742772721625236,0.13479551286773064,0.1111127271378427
1997,6,1997.46,0.286012978117403,0.12405936191351284,0.1099434103791429,0.07589568571301472,0.19389292539921726,0.16891260271596284,0.13162342212461658,0.10815803481049348
1998,6,1998.46,0.23159833135442506,0.10229290454863249,0.09736672395887362,0.063454395918199,0.18723661533411218,0.16193590920050402,0.12846662748917392,0.10584205287910947
1999,6,1999.46,0.1936610513530601,0.08362400673662963,0.08745793263486969,0.05326017995033915,0.18395380642573692,0.15517292728845872,0.12360524615343349,0.10159648529009092
2000,6,2000.46,0.18893633113603062,0.07179719378142013,0.08089181467488318,0.04615900517034487,0.1691586887814258,0.148639550646293,0.12038952642741411,0.09692090471893311
2001,6,2001.46,0.21864273911091334,0.06139515877664473,0.07672832864166577,0.041427859399542584,0.1587878500864636,0.14265318073149466,0.11802778985658521,0.0930611258547955
2002,6,2002.46,0.2758557660846757,0.05257015045606145,0.07443232373899425,0.039392074667865894,0.14644452757026813,0.13561130005096536,0.11246784847313668,0.08905971750439876
2003,6,2003.46,0.3196516102850379,0.043956856353142636,0.07159451443533485,0.03647994824733009,0.12896100452150439,0.12833732203582157,0.10834956178365106,0.08486849314566515
2004,6,2004.46,0.3814779320841119,0.03882867466223738,0.06633653392464374,0.03187284830526738,0.12772378049270916,0.11972658227322343,0.10383773411862379,0.0818477530838089
2005,6,2005.46,0.419550603297524,0.03102918361010602,0.05838891409190336,0.020993075194149436,0.12409703461064019,0.11468156524790304,0.10044794502875509,0.07990839708565867
2006,6,2006.46,0.38468155080059735,0.016276019661123017,0.05370299745761061,0.014797078353531536,0.11238228470329314,0.10851849764228366,0.09501550156891787,0.07803814163254777
2007,6,2007.46,0.2905534963328979,0.0,0.05831979666903552,0.013753708747115678,0.1070019360357593,0.10342932438484301,0.09131967544910148,0.07666794172560734
2008,6,2008.46,0.25654575325220635,0.0,0.07450097503286077,0.023668211275979064,0.10286344243050816,0.09949693825119911,0.0893341802084496,0.07400303069017725
2009,6,2009.46,0.2929152913926531,0.005571227673410734,0.08957308352377709,0.03229243396474912,0.10259167312323879,0.09468458343437025,0.08823952279654501,0.07179572231421101
2010,6,2010.46,0.33493779075234026,0.016709195399091988,0.10338633435576526,0.0390993755527952,0.09804272903650925,0.09257251001936492,0.08592632395147537,0.07098295512760094
2011,6,2011.46,0.36165737337244286,0.029783739820312443,0.11594798559665535,0.0461680785064378,0.09336506405762493,0.0889691185172509,0.08299279848685048,0.07032079192091398
2012,6,2012.46,0.3642626027090757,0.036567671952142146,0.1247696311491142,0.05274574393703516,0.09642677047033743,0.08735956591754229,0.08401725435648609,0.07011669698868371
2013,6,2013.46,0.3318595166532025,0.03822200206888617,0.13033429400620314,0.056586943484749984,0.09339143305964726,0.08597726747953717,0.08403240941507303,0.06853709014755005
2014,6,2014.46,0.26648232890860774,0.03291832316403353,0.1337889703462334,0.05584161191146179,0.09613580461701199,0.08537090283791797,0.08431373467477932,0.06730225797131728
2015,6,2015.46,0.2589378387692362,0.0326929882432923,0.1396536812259985,0.0525088296827663,0.09552813785274038,0.08720180640250288,0.08406635094607337,0.06707262722500189
2016,6,2016.46,0.2983427787873739,0.04545791099435597,0.15186126091924712,0.05247729624178398,0.09623810363445151,0.09060436047761915,0.08475940107087945,0.06674983014532665
2017,6,2017.46,0.32333801417591845,0.06050220551751551,0.17455053227972064,0.0620038440626176,0.09963105202010508,0.09311727345157492,0.08438199822742956,0.06671849326688527
2018,6,2018.46,0.35158181027521085,0.07472162453090836,0.1991926756333184,0.0741556407298867,0.10219061290354879,0.09668918093313329,0.08633228889639537,0.06841694336721064
2019,6,2019.46,0.34985303730979256,0.0797928807746522,0.21613790912581268,0.08202548754238938,0.10407747536198277,0.10229913843876444,0.08760676944816266,0.07181408404909018
2020,6,2020.46,0.3105593174785457,0.07874945137787658,0.22233181506548674,0.08371408010003821,0.12061192299078248,0.10967046602710254,0.0925769891202695,0.07484398571942426
