year        SH      NH      Global
2010.042    8.07    8.09    8.08
2010.125    8.12    8.14    8.13
2010.208    8.07    8.06    8.06
2010.292    8.07    8.12    8.10
2010.375    8.04    8.07    8.06
2010.458    8.06    8.07    8.07
2010.542    8.05    8.13    8.09
2010.625    8.13    8.15    8.14
2010.708    8.04    8.10    8.07
2010.792    8.09    8.13    8.11
2010.875    8.02    8.07    8.05
2010.958    8.07    8.08    8.07
2011.042    8.06    8.11    8.09
2011.125    8.03    8.09    8.06
2011.208    8.05    8.07    8.06
2011.292    8.07    8.09    8.08
2011.375    8.08    8.07    8.07
2011.458    8.05    8.10    8.08
2011.542    8.01    8.13    8.07
2011.625    8.05    8.06    8.06
2011.708    8.09    8.08    8.08
2011.792    8.07    8.09    8.08
2011.875    8.05    8.06    8.05
2011.958    8.09    8.12    8.10
2012.042    8.09    8.08    8.08
2012.125    8.10    8.07    8.09
2012.208    8.09    8.13    8.11
2012.292    8.08    8.10    8.09
2012.375    8.11    8.10    8.10
2012.458    8.15    8.13    8.14
2012.542    8.11    8.14    8.12
2012.625    8.09    8.09    8.09
2012.708    8.07    8.15    8.11
2012.792    8.12    8.12    8.12
2012.875    8.14    8.11    8.12
2012.958    8.06    8.14    8.10
2013.042    8.15    8.15    8.15
2013.125    8.12    8.15    8.13
2013.208    8.14    8.16    8.15
2013.292    8.09    8.13    8.11
2013.375    8.12    8.16    8.14
2013.458    8.09    8.14    8.11
2013.542    8.16    8.10    8.13
2013.625    8.06    8.11    8.08
2013.708    8.17    8.15    8.16
2013.792    8.10    8.18    8.14
2013.875    8.13    8.08    8.10
2013.958    8.13    8.18    8.16
2014.042    8.12    8.20    8.16
2014.125    8.11    8.20    8.15
2014.208    8.09    8.12    8.11
2014.292    8.09    8.19    8.14
2014.375    8.10    8.10    8.10
2014.458    8.11    8.18    8.15
2014.542    8.11    8.19    8.15
2014.625    8.10    8.17    8.14
2014.708    8.17    8.22    8.19
2014.792    8.13    8.18    8.15
2014.875    8.13    8.16    8.14
2014.958    8.12    8.18    8.15
2015.042    8.09    8.26    8.17
2015.125    8.11    8.13    8.12
2015.208    8.12    8.21    8.17
2015.292    8.11    8.15    8.13
2015.375    8.19    8.26    8.22
2015.458    8.16    8.14    8.15
2015.542    8.10    8.14    8.12
