Time,      H1202
1977.8212,         0.0070
1978.0192,         0.0065
1978.3322,         0.0080
1978.5998,         0.0080
1980.2379,         0.0090
1981.6463,         0.0100
1981.9046,         0.0110
1983.0861,         0.0120
1985.1053,         0.0153
1985.5998,         0.0150
1986.3662,         0.0200
1986.5247,         0.0170
1986.9100,         0.0180
1987.9742,         0.0200
1988.8048,         0.0210
1989.9018,         0.0230
1990.4660,        0.0230
1990.7023,         0.0190
1990.9687,         0.0230
1991.0110,         0.0230
1991.5438,         0.0220
1991.6162,         0.0230
1991.7719,         0.0240
1992.0055,         0.0260
1992.2297,         0.0240
1992.2324,         0.0260
1992.9358,         0.0250
1992.9961,         0.0265
1993.1135,         0.0250
1993.2215,         0.0280
1993.6135,         0.0260
1993.7078,         0.0250
1993.8240,         0.0260
1993.9194,         0.0280
1993.9413,         0.0280
1994.2637,         0.0300
1994.4358,         0.0300
1994.6053,         0.0300
1994.7023,        0.0290
1994.7829,         0.0290
1994.9523,         0.0320
1995.1463,         0.0320
1995.3963,         0.0320
1995.6080,         0.0340
1995.7610,         0.0360
1995.9100,         0.0340
1996.1409,         0.0390
1996.3881,         0.0390
1996.5192,         0.0375
1996.6546,         0.0380
1996.9155,         0.0400
1997.0411,         0.0430
1997.6804,         0.0410
1997.7911,        0.0400
1997.8881,        0.0420
1997.9605,         0.0420
1998.0027,         0.0440
1998.1628,         0.0450
1998.2324,         0.0460
1998.2911,         0.0460
1998.4073,         0.0440
1998.6299,        0.0430
1998.6776,        0.0420
1998.7856,         0.0420
1998.8690,         0.0450
1998.9742,         0.0445
1999.1272,         0.0460
1999.2324,         0.0470
1999.2993,         0.0450
1999.3744,         0.0440
1999.4632,         0.0430
1999.5548,         0.0420
1999.6463,         0.0440
2000.2461,         0.0470
2000.8240,         0.0455
2000.9578,         0.0470
2001.0411,         0.0450
2001.1053,         0.0450
2001.1776,         0.0440
2001.2993,         0.0440
2001.3690,         0.0440
2001.4468,         0.0430
2001.9715,         0.0440
2002.5575,         0.0400
2002.7023,         0.0400
2002.7911,         0.0400
2002.8909,         0.0390
2003.2160,         0.0400
2003.2719,         0.0400
2003.4523,         0.0390
2003.5411,         0.0385
2003.8854,         0.0370
2003.9989,         0.0390
2004.0998,         0.0390
2004.1694,         0.0370
2004.7664,         0.0340
2006.1463,         0.0330
2007.0137,         0.0290
2007.9523,         0.0270
2008.6831,         0.0240
2009.0740,         0.0230
2010.4441,         0.0200
2010.6053,         0.0200
2010.7132,         0.0200
2010.8048,         0.0200
2010.9046,         0.0200
2010.9742,         0.0200
2010.9742,         0.0206
2011.8240,         0.0189
2012.1655,         0.0191
2012.4276,         0.0182
2012.7050,         0.0175
2013.0137,         0.0177
2013.2884,         0.0169
2013.6409,         0.0158
2013.8470,         0.0155
2014.0466,         0.0166
2014.1968,         0.0159
2014.3607,         0.0158
2014.6272,         0.0153
2015.0740,         0.0145
2015.2269,         0.0150
2015.4046,         0.0152
2015.5603,         0.0147
2015.7692,         0.0131
2015.8854,         0.0140
2016.0740,         0.0139
2016.8388,         0.0124
2017.0658,         0.0127
2017.2856,         0.0123
2017.5247,         0.0119
2018.1272,         0.0108
2018.2023,         0.0100
2018.3826,         0.0095
2018.5548,         0.0095
2018.7434,        0.0117
2018.8525,         0.0096
2019.0247,         0.0089
2019.2379,         0.0098
2019.4073,         0.0088
2019.5055,         0.0097
2019.7489,         0.0091
2019.8717,         0.0091
2020.0970,         0.0096
2020.0970,         0.0086
2020.2664,         0.0086
2020.3909,         0.0091
2020.5548,         0.0084
2020.7297,         0.0087
2020.8470,         0.0089
2021.0888,         0.0076
2021.1913,         0.0077
2021.5575,         0.0078
2021.8772,         0.0074
2022.2297,         0.0070
2022.6463,         0.0073
2022.8744,         0.0069
2023.0861,         0.0068
